string_field_0,string_field_2,string_field_3,string_field_45,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_44,string_field_43,string_field_5
Middle East,< 20,41310,Student / Unemployed,,JavaScript,CSS,,,,,,,,,,,So happy it hurts,Mac OS X,Start Up (1-25)
South America,20-24,41310,"<$20,000",Java,JavaScript,,PHP,Python,,SQL,,,C,,,,So happy it hurts,Linux,Start Up (1-25)
India,25-29,41310,"<$20,000",Java,JavaScript,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
United States of America,25-29,41310,"<$20,000",Java,JavaScript,CSS,PHP,,,SQL,C#,,C,,,,It pays the bills,Linux,Start Up (1-25)
Germany,20-24,41310,"<$20,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,It pays the bills,Linux,Start Up (1-25)
United States of America,40-50,11,">$140,000",Java,JavaScript,CSS,,,Ruby,SQL,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
France,40-50,11,"$40,000 - $60,000",Java,JavaScript,CSS,,,,,C#,C++,C,,,,I enjoy going to work,Windows Vista,Mature Small Business (25-100)
Canada,20-24,41310,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,20-24,41310,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,40-50,11,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Mid Sized (100-999)
South America,35-39,11,"$80,000 - $100,000",,JavaScript,CSS,,Python,,SQL,,C++,,,,,I enjoy going to work,Linux,Start Up (1-25)
United States of America,25-29,41310,"$80,000 - $100,000",,,CSS,PHP,,,SQL,,,,,,JavaScript,I enjoy going to work,Mac OS X,Start Up (1-25)
United States of America,30-34,11,"$100,000 - $120,000",,,,,,,,C#,,,,,,FML,Mac OS X,Mature Small Business (25-100)
United States of America,40-50,11,"$120,000 - $140,000",,JavaScript,,,,,,C#,C++,C,,,assembly language,I enjoy going to work,Windows 7,Start Up (1-25)
India,25-29,41310,,,JavaScript,,,Python,,,,,,,,,,Linux,Start Up (1-25)
Other Europe,20-24,41310,"<$20,000",Java,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
United States of America,25-29,41435,"<$20,000",,JavaScript,CSS,PHP,,,,,,,,,"If CSS is a language, surely so is HTML?",I enjoy going to work,Mac OS X,Start Up (1-25)
Other Europe,25-29,41435,"<$20,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,It pays the bills,Linux,Start Up (1-25)
Other Europe,40-50,11,"<$20,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Other Europe,25-29,41435,"<$20,000",,JavaScript,,,,,,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Canada,25-29,41310,"$20,000 - $40,000",,JavaScript,CSS,,,,SQL,,,,,,VBScript,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United Kingdom,25-29,41310,"$20,000 - $40,000",,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
Other Europe,25-29,41310,"$20,000 - $40,000",,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Mid Sized (100-999)
United States of America,20-24,41310,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,,,,,,VB/VBScript,It pays the bills,Windows XP,"Fortune 1000 (1,000+)"
United Kingdom,35-39,11,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,,So happy it hurts,Windows 7,Start Up (1-25)
United States of America,20-24,41310,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
United States of America,25-29,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,,,,,,ColdFusion,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,20-24,41310,"$60,000 - $80,000",,,CSS,,,Ruby,SQL,C#,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
United States of America,25-29,41435,"$80,000 - $100,000",,JavaScript,CSS,,,Ruby,SQL,C#,,,,,,It pays the bills,Windows 7,"Fortune 1000 (1,000+)"
India,25-29,41435,,,,,,,,,,,,,,,,,"Other (not working, consultant, etc.)"
United States of America,25-29,41435,,,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
Middle East,30-34,11,,,JavaScript,CSS,,,,SQL,C#,C++,C,,,,It pays the bills,Windows 7,Start Up (1-25)
United States of America,25-29,11,,Java,JavaScript,,,,,SQL,C#,,,Perl,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
United States of America,35-39,41435,,,,,,,,,,,,,,,,,Mid Sized (100-999)
Other Europe,20-24,41310,"<$20,000",,,,,,,,C#,,,,,,So happy it hurts,Windows 7,Mid Sized (100-999)
United States of America,40-50,11,">$140,000",,JavaScript,,,,,SQL,C#,,,,,VB.NET and proud of it,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
France,25-29,41310,"$20,000 - $40,000",Java,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows Vista,Start Up (1-25)
United States of America,20-24,41435,"$20,000 - $40,000",,JavaScript,CSS,PHP,,Ruby,SQL,C#,,,,,,It pays the bills,Windows 7,Start Up (1-25)
Germany,30-34,11,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,SQL,,,,Perl,,"Turbo Pascal 5.5 (no, seriously)",I enjoy going to work,Linux,Mature Small Business (25-100)
Canada,25-29,<2,"$40,000 - $60,000",Java,,CSS,PHP,,,,,,,,,,So happy it hurts,Windows 7,Start Up (1-25)
France,20-24,41310,"$40,000 - $60,000",,JavaScript,CSS,,,Ruby,,,,,,,,So happy it hurts,Mac OS X,Start Up (1-25)
United States of America,30-34,41435,"$60,000 - $80,000",,,CSS,,,,,,,,,,HTML,So happy it hurts,Mac OS X,Start Up (1-25)
Other Europe,25-29,41435,"$80,000 - $100,000",Java,JavaScript,,,,Ruby,,C#,,,,,,So happy it hurts,Mac OS X,Start Up (1-25)
United States of America,30-34,41435,"$80,000 - $100,000",,JavaScript,CSS,PHP,,,SQL,C#,,,Perl,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,30-34,41435,"$100,000 - $120,000",,JavaScript,CSS,,,,SQL,C#,,,,,,So happy it hurts,Windows 7,Start Up (1-25)
Other Europe,40-50,11,"$100,000 - $120,000",Java,JavaScript,,,,,,,,C,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
India,20-24,41435,Student / Unemployed,Java,,CSS,,,,,C#,C++,C,,,,I enjoy going to work,Windows 7,Student
United States of America,30-34,41310,,,JavaScript,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Mac OS X,"Other (not working, consultant, etc.)"
Other Europe,35-39,11,"$40,000 - $60,000",,,,,Python,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
Other Europe,25-29,41435,"$40,000 - $60,000",,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,25-29,11,"$40,000 - $60,000",,JavaScript,CSS,PHP,,Ruby,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
Canada,25-29,41310,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,SQL,,C++,,,,ActionScript,I enjoy going to work,Windows 7,Start Up (1-25)
Canada,25-29,41435,"$80,000 - $100,000",,JavaScript,,,,,SQL,,,,,,Java (shocked this wasn't in the survey),It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,35-39,11,"$100,000 - $120,000",Java,,,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Start Up (1-25)
Australia,30-34,11,,,JavaScript,CSS,,,,SQL,C#,,,,,Java,So happy it hurts,Mac OS X,Start Up (1-25)
United States of America,40-50,11,">$140,000",Java,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Mac OS X,Mid Sized (100-999)
Canada,30-34,41435,"$40,000 - $60,000",,,,,,,SQL,C#,,,,,,It pays the bills,Windows XP,Mature Small Business (25-100)
United States of America,25-29,41310,"$40,000 - $60,000",,JavaScript,CSS,PHP,Python,,SQL,,,,Perl,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
Australia,30-34,11,"$40,000 - $60,000",,,CSS,PHP,,,SQL,,C++,C,,,,So happy it hurts,Linux,Mature Small Business (25-100)
Italy,40-50,11,"$40,000 - $60,000",,JavaScript,CSS,,,,,C#,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
France,25-29,41435,"$40,000 - $60,000",Java,,,PHP,,,SQL,,,,,,Flex,I enjoy going to work,Windows 7,Mid Sized (100-999)
United Kingdom,25-29,41310,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,,,,,,,,I'm not happy in my job,Mac OS X,Mid Sized (100-999)
United Kingdom,25-29,41310,"$40,000 - $60,000",,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,,So happy it hurts,Mac OS X,Start Up (1-25)
Other Europe,25-29,41310,"$40,000 - $60,000",,,,PHP,Python,Ruby,,C#,,C,,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
Canada,20-24,41435,"$60,000 - $80,000",,,,,,Ruby,SQL,C#,,,,,,I enjoy going to work,Mac OS X,Mid Sized (100-999)
Australia,30-34,41435,"$60,000 - $80,000",Java,JavaScript,CSS,,,,SQL,C#,C++,C,,,,I enjoy going to work,Windows 7,Start Up (1-25)
Other Europe,35-39,11,"$60,000 - $80,000",Java,JavaScript,CSS,,,Ruby,SQL,C#,,C,,,CSS is not a programming language.,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,30-34,11,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,"RPG, LANSA",I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,30-34,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Start Up (1-25)
United States of America,30-34,41435,"$100,000 - $120,000",Java,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,Perl,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
Middle East,25-29,41310,,,JavaScript,CSS,,,,SQL,C#,,,,,,So happy it hurts,Windows 7,"Fortune 1000 (1,000+)"
Other Europe,20-24,41435,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
United Kingdom,20-24,41435,"<$20,000",,,CSS,PHP,,,SQL,,,,,,,FML,Linux,"Other (not working, consultant, etc.)"
United States of America,35-39,11,">$140,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
Other Europe,25-29,41310,"$20,000 - $40,000",,JavaScript,CSS,,,,SQL,,,,,,CFML,I enjoy going to work,Linux,Start Up (1-25)
Other Europe,20-24,<2,"$20,000 - $40,000",Java,,CSS,PHP,Python,,SQL,,C++,,,,,So happy it hurts,Linux,Start Up (1-25)
United Kingdom,20-24,41310,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,Python,,,C#,,,,,,I enjoy going to work,Linux,Start Up (1-25)
United Kingdom,30-34,41435,"$40,000 - $60,000",,JavaScript,CSS,,Python,,,,,,,,HTML,I enjoy going to work,Mac OS X,Start Up (1-25)
United Kingdom,25-29,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Other Europe,20-24,41310,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,FML,Windows 7,Start Up (1-25)
United States of America,30-34,11,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows Vista,Start Up (1-25)
United States of America,25-29,41310,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,25-29,41310,"$60,000 - $80,000",Java,,,PHP,,,SQL,C#,,,,,,I'm not happy in my job,Windows XP,"Fortune 1000 (1,000+)"
Italy,35-39,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,30-34,41435,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Start Up (1-25)
United States of America,40-50,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United States of America,25-29,41435,Student / Unemployed,Java,,CSS,PHP,Python,Ruby,,,C++,C,Perl,,name it.,It pays the bills,Linux,"Other (not working, consultant, etc.)"
Canada,40-50,11,Student / Unemployed,,JavaScript,CSS,,,Ruby,SQL,,C++,,,,,I'm not happy in my job,Linux,Start Up (1-25)
United States of America,30-34,41435,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
United Kingdom,35-39,11,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
Africa,20-24,41310,"<$20,000",Java,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
Other Europe,25-29,<2,"<$20,000",Java,JavaScript,CSS,PHP,Python,,SQL,C#,,,,,,So happy it hurts,Windows XP,"Other (not working, consultant, etc.)"
South America,20-24,11,"<$20,000",Java,,,,,,,C#,,,,,Visual Basic,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United Kingdom,35-39,41435,"<$20,000",,JavaScript,CSS,PHP,,,,,,,,,,I'm not happy in my job,Linux,Start Up (1-25)
Other Europe,20-24,41435,"<$20,000",,JavaScript,CSS,,,,SQL,C#,,,,,,FML,Windows 7,Start Up (1-25)
India,20-24,<2,"<$20,000",,JavaScript,,,,,,,,,,,Java,I enjoy going to work,Linux,Mature Small Business (25-100)
Other Europe,35-39,41435,"$20,000 - $40,000",,,,,,,,C#,,,,,,I'm not happy in my job,Windows 7,Start Up (1-25)
United Kingdom,40-50,11,"$40,000 - $60,000",,,,,,,SQL,C#,,,,,Various,I enjoy going to work,Windows 7,Start Up (1-25)
Africa,30-34,11,"$40,000 - $60,000",,JavaScript,CSS,PHP,Python,,SQL,C#,,C,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,25-29,11,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
Canada,40-50,11,"$60,000 - $80,000",Java,,,,,,,,,,,,scala,It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,35-39,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
United States of America,30-34,11,"$120,000 - $140,000",,JavaScript,CSS,,,,SQL,,,,,,"Java, XSLT",It pays the bills,Windows XP,"Fortune 1000 (1,000+)"
Middle East,35-39,41435,,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
Australia,25-29,41435,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
Germany,25-29,11,,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,,Windows XP,"Fortune 1000 (1,000+)"
Canada,20-24,41310,"<$20,000",,,,,Python,,,,,,,,,It pays the bills,Linux,Start Up (1-25)
Other Europe,25-29,11,"$20,000 - $40,000",,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows Vista,Mature Small Business (25-100)
United States of America,20-24,41310,"$20,000 - $40,000",,JavaScript,CSS,PHP,Python,,SQL,,,,Perl,,,I enjoy going to work,Windows 7,Start Up (1-25)
Italy,25-29,41435,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
Other Europe,25-29,11,"$20,000 - $40,000",Java,JavaScript,,,,Ruby,SQL,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
Germany,30-34,11,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,ColdFusion,It pays the bills,Windows 7,"Fortune 1000 (1,000+)"
Canada,35-39,11,"$80,000 - $100,000",,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
Germany,25-29,41435,"$80,000 - $100,000",Java,JavaScript,CSS,PHP,Python,,,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,25-29,41435,"$100,000 - $120,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,So happy it hurts,Windows 7,Mature Small Business (25-100)
United States of America,25-29,41435,"$100,000 - $120,000",,JavaScript,CSS,PHP,,Ruby,SQL,C#,,,,,,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
Australia,40-50,11,"$120,000 - $140,000",,,,,,,,C#,,,,,,So happy it hurts,Windows 7,Start Up (1-25)
Other Europe,20-24,11,Student / Unemployed,,,,PHP,,,SQL,,,,,,,FML,Windows 7,"Other (not working, consultant, etc.)"
Netherlands,40-50,11,,Java,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,35-39,11,,Java,JavaScript,CSS,PHP,Python,,,,,,,,,It pays the bills,Mac OS X,Mid Sized (100-999)
Middle East,20-24,11,"$20,000 - $40,000",,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,,,,It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,30-34,41435,"$40,000 - $60,000",,JavaScript,,,,,,C#,,,,,,It pays the bills,Windows 7,Mid Sized (100-999)
United Kingdom,30-34,41435,"$60,000 - $80,000",Java,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,25-29,41435,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
Canada,30-34,11,"$80,000 - $100,000",,JavaScript,CSS,,Python,,SQL,C#,C++,,,,ActionScript,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,30-34,41435,"$100,000 - $120,000",Java,,,,,,SQL,C#,C++,C,,,,So happy it hurts,Windows 7,Mid Sized (100-999)
United States of America,30-34,41435,"$100,000 - $120,000",Java,JavaScript,CSS,,Python,,SQL,C#,,,,,,It pays the bills,Windows XP,Mid Sized (100-999)
Germany,40-50,11,,,JavaScript,,,,,,C#,,,,,,I enjoy going to work,Windows XP,Start Up (1-25)
United States of America,20-24,41310,,,,CSS,,,,SQL,C#,C++,C,,,,It pays the bills,Windows XP,Mid Sized (100-999)
United States of America,40-50,11,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
Other Europe,25-29,41435,"<$20,000",,JavaScript,CSS,PHP,Python,,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
United States of America,30-34,11,"<$20,000",Java,JavaScript,CSS,PHP,,Ruby,SQL,C#,C++,C,,,,So happy it hurts,Mac OS X,Start Up (1-25)
Netherlands,35-39,41310,"$20,000 - $40,000",Java,JavaScript,CSS,,,,SQL,,,,Perl,,,It pays the bills,Mac OS X,Mature Small Business (25-100)
Other Europe,35-39,41435,"$20,000 - $40,000",Java,JavaScript,,PHP,,,SQL,C#,,,,,,It pays the bills,Linux,Mature Small Business (25-100)
United States of America,30-34,41435,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,,,,,,,,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
Other Europe,40-50,11,"$60,000 - $80,000",,JavaScript,,,,,SQL,,,,,,ActionScript,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
United States of America,20-24,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,f#,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,30-34,41435,"$60,000 - $80,000",,,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Start Up (1-25)
Australia,30-34,11,"$80,000 - $100,000",,,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,30-34,11,"$80,000 - $100,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,25-29,41310,"$80,000 - $100,000",Java,JavaScript,CSS,,,,SQL,,,,Perl,,,I'm not happy in my job,Mac OS X,Mid Sized (100-999)
United States of America,25-29,41435,"$100,000 - $120,000",,JavaScript,,,,Ruby,,,,,,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
Germany,40-50,11,,Java,,,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
Australia,30-34,41435,,,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows Vista,Start Up (1-25)
India,20-24,41310,"<$20,000",,,,,,,,C#,,,,,VB.NET,It pays the bills,Windows XP,Mid Sized (100-999)
United States of America,40-50,11,">$140,000",,JavaScript,CSS,,Python,,SQL,,C++,C,,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
Germany,25-29,41310,"$20,000 - $40,000",,JavaScript,CSS,,,,,,,,,,,I'm not happy in my job,Windows 7,Mid Sized (100-999)
Germany,25-29,11,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,X3D,FML,Windows 7,Start Up (1-25)
United States of America,25-29,41435,"$40,000 - $60,000",Java,,CSS,,,,SQL,,,,,,,It pays the bills,Windows 7,Mature Small Business (25-100)
Other Europe,35-39,11,"$60,000 - $80,000",Java,JavaScript,CSS,,Python,,SQL,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,20-24,41435,"$60,000 - $80,000",,,CSS,,,,SQL,C#,,,,,F#,So happy it hurts,Windows 7,"Fortune 1000 (1,000+)"
United States of America,20-24,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,So happy it hurts,Windows 7,Mid Sized (100-999)
United States of America,30-34,11,"$80,000 - $100,000",,,,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United States of America,40-50,11,"$80,000 - $100,000",,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
United States of America,35-39,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,C++,C,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
Other Europe,30-34,41435,"$100,000 - $120,000",Java,JavaScript,CSS,,Python,,SQL,C#,,,,,,So happy it hurts,Windows 7,Start Up (1-25)
Other Europe,25-29,11,"$100,000 - $120,000",Java,JavaScript,CSS,PHP,,,SQL,,,C,,,,I enjoy going to work,Linux,Start Up (1-25)
United States of America,35-39,11,"$120,000 - $140,000",,JavaScript,CSS,,,,SQL,,,C,Perl,,,It pays the bills,Mac OS X,Mid Sized (100-999)
Other Europe,25-29,41435,Student / Unemployed,,,,PHP,,,,,,,,,,So happy it hurts,Windows 7,Start Up (1-25)
United States of America,25-29,41435,,,,,,,,SQL,C#,,,,,,So happy it hurts,Windows 7,Mature Small Business (25-100)
India,20-24,<2,">$140,000",,JavaScript,,PHP,,Ruby,SQL,,,,,,,So happy it hurts,Linux,Start Up (1-25)
Middle East,30-34,41310,"$20,000 - $40,000",,,CSS,PHP,,,,C#,C++,C,,,AS3,So happy it hurts,Mac OS X,"Other (not working, consultant, etc.)"
Other Europe,30-34,41435,"$20,000 - $40,000",,,,,,,SQL,C#,,,,,,I'm not happy in my job,Windows 7,Start Up (1-25)
United Kingdom,25-29,41435,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,So happy it hurts,Windows XP,Start Up (1-25)
United States of America,25-29,41435,"$40,000 - $60,000",,,CSS,PHP,,,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
Netherlands,40-50,11,"$40,000 - $60,000",,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Australasia,25-29,41310,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,25-29,41435,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,,So happy it hurts,Windows 7,Start Up (1-25)
United Kingdom,20-24,41435,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,,,,,,"VB.net, Java",I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United States of America,30-34,41435,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,25-29,41435,"$60,000 - $80,000",,JavaScript,,,,,SQL,C#,,,,,,FML,Windows 7,"Other (not working, consultant, etc.)"
France,35-39,11,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,It pays the bills,Windows 7,Mature Small Business (25-100)
Other Europe,25-29,41435,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,30-34,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United Kingdom,40-50,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,35-39,11,"$80,000 - $100,000",Java,JavaScript,,,,,SQL,,C++,C,Perl,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United States of America,35-39,11,"$80,000 - $100,000",,JavaScript,CSS,PHP,,,SQL,,,,,,Objective-C,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
United States of America,20-24,41435,"$100,000 - $120,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,40-50,11,"$100,000 - $120,000",,JavaScript,,,,,SQL,C#,,,,,VB.Net,It pays the bills,Windows 7,Mid Sized (100-999)
Italy,25-29,41310,Student / Unemployed,,JavaScript,CSS,,Python,,SQL,,,,,,,I'm not happy in my job,Mac OS X,Student
United States of America,25-29,11,,,JavaScript,CSS,PHP,,,,,,,,,,It pays the bills,Mac OS X,Start Up (1-25)
United States of America,25-29,41435,,Java,,,PHP,,,,,,,,,,,Mac OS X,Start Up (1-25)
Canada,30-34,41435,"<$20,000",,,,,,,,,,,,,VB.NET,I enjoy going to work,Windows 7,Start Up (1-25)
Other Europe,< 20,41310,"<$20,000",Java,JavaScript,CSS,PHP,,,SQL,,,,,,Delphi,I enjoy going to work,Windows 7,Start Up (1-25)
South America,25-29,41435,"<$20,000",,JavaScript,CSS,PHP,Python,,SQL,,,,,,,It pays the bills,Linux,Start Up (1-25)
Other Europe,20-24,41310,"$20,000 - $40,000",Java,,,,Python,,,,C++,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
Australia,20-24,41310,"$20,000 - $40,000",,JavaScript,CSS,PHP,Python,,SQL,,,C,Perl,,"Lisp, Haskell, Prolog",It pays the bills,Linux,Student
India,35-39,11,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,,,,,,,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
United Kingdom,20-24,41310,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Linux,Mid Sized (100-999)
