string_field_2,string_field_3,string_field_0,string_field_100,string_field_56,string_field_57,string_field_58,string_field_59,string_field_60,string_field_61,string_field_62,string_field_63,string_field_64,string_field_65,string_field_66,string_field_67,string_field_68,string_field_69,string_field_99,string_field_81,string_field_5
30-34,6/10/2013,Germany,"$60,000 - $80,000",,C++,,,,,,,,,Python,,,,I enjoy going to work,Windows 7,1/25/2013
30-34,11,United States of America,"$80,000 - $100,000",,,,Java,JavaScript,,,,Objective-C,,Python,,,Groovy,It's a paycheck,Mac OS X,26-100
35-39,6/10/2013,Other Asia,"$80,000 - $100,000",,,,,JavaScript,,,,,,Python,,,,I enjoy going to work,Windows 7,3001
30-34,2/5/2013,United States of America,Rather not say,,,,,,,,,,,Python,,,"Matlab, Labview",It's a paycheck,Windows 7,"Other (not working, consultant, etc.)"
30-34,6/10/2013,United States of America,"$100,000 - $120,000",,,C#,,JavaScript,,JQuery,,,,Python,,SQL,,Love my job,Linux,101-999
20-24,2/5/2013,India,"<$20,000",,,C#,,JavaScript,jQuery,,,,PHP,Python,,SQL,,Love my job,Linux,1/25/2013
25-29,6/10/2013,France,"$20,000 - $40,000",,C++,,,JavaScript,,,Node.js,,,Python,,,,I enjoy going to work,Linux,26-100
20-24,<2,United States of America,Rather not say,,C++,,Java,,,,,,,,,SQL,,It's a paycheck,Windows 7,101-999
40-50,6/10/2013,United States of America,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,101-999
30-34,6/10/2013,Netherlands,Rather not say,,,C#,,JavaScript,jQuery,,,,,,,,,I enjoy going to work,Windows 7,1/25/2013
35-39,11,United States of America,"$60,000 - $80,000",,,,,JavaScript,jQuery,JQuery,Node.js,,PHP,,Ruby,SQL,,I'm not happy in my job,Linux,1/25/2013
30-34,11,Germany,"$100,000 - $120,000",,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
20-24,<2,India,"<$20,000",,,,Java,,,,,,PHP,,,,,Hate my job,Windows XP,1/25/2013
20-24,2/5/2013,United States of America,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,Hate my job,Mac OS X,1/25/2013
20-24,11,South America,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,,,,,,It's a paycheck,Windows 8,1/25/2013
30-34,11,United States of America,"$120,000 - $140,000",,,,,JavaScript,jQuery,,Node.js,,,,Ruby,SQL,,Love my job,Mac OS X,1/25/2013
35-39,11,United States of America,"$60,000 - $80,000",C,,,Java,,,,,,,,,,,I'm not happy in my job,Windows 7,1/25/2013
25-29,2/5/2013,Other Europe,"$20,000 - $40,000",,,,Java,,,,,,,,,,,I enjoy going to work,Linux,26-100
25-29,2/5/2013,Italy,"$20,000 - $40,000",,C++,,,,,,,,,Python,,,,I enjoy going to work,Linux,101-999
35-39,11,United Kingdom,"$60,000 - $80,000",C,C++,,,JavaScript,,,,,,,,,,It's a paycheck,Windows 7,101-999
40-50,11,North America (Other),"$60,000 - $80,000",C,C++,C#,Java,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Windows 7,101-999
35-39,11,United States of America,"$80,000 - $100,000",,,,,JavaScript,jQuery,,,,,,,,,I enjoy going to work,Windows 7,"1,000-3,000"
20-24,2/5/2013,South America,Student / Unemployed,,C++,,,,,,,,,Python,,,BashScript,It's a paycheck,Linux,"Other (not working, consultant, etc.)"
30-34,6/10/2013,Other Europe,"$60,000 - $80,000",,,,Java,JavaScript,jQuery,,Node.js,,,Python,,,,I enjoy going to work,Windows 7,26-100
< 20,2/5/2013,United States of America,"<$20,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I'm not happy in my job,Windows 8,1/25/2013
20-24,<2,India,"<$20,000",C,C++,C#,,,jQuery,,,,,,Ruby,,,Love my job,Linux,101-999
35-39,11,Other Europe,"$60,000 - $80,000",,,,Java,,jQuery,,,,,,,SQL,,I'm not happy in my job,Windows XP,"1,000-3,000"
20-24,6/10/2013,Russia,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,,,,"CoffeeScript, MonoTouch",Love my job,Mac OS X,1/25/2013
25-29,2/5/2013,India,"<$20,000",,,C#,,JavaScript,,,,,,,,SQL,,It's a paycheck,Windows 7,3001
35-39,11,United States of America,"$120,000 - $140,000",,,,Java,JavaScript,jQuery,,,,PHP,Python,Ruby,SQL,,Love my job,Mac OS X,1/25/2013
35-39,11,United Kingdom,">$140,000",,,,,,,,,,,,,SQL,"Forth, R",Love my job,Windows XP,3001
35-39,2/5/2013,United States of America,"$100,000 - $120,000",,,C#,,,,,,,,,,,,Hate my job,Windows 7,101-999
20-24,2/5/2013,Italy,Student / Unemployed,,,,,,,,,,PHP,,,,,It's a paycheck,Mac OS X,"Other (not working, consultant, etc.)"
20-24,6/10/2013,United Kingdom,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,,PHP,,,,,I enjoy going to work,Linux,101-999
35-39,11,Other Europe,Rather not say,,,,,,jQuery,,,,,Python,,,,I enjoy going to work,Mac OS X,1/25/2013
40-50,11,Other Europe,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,Node.js,,PHP,Python,,SQL,,I'm not happy in my job,Windows 7,1/25/2013
30-34,6/10/2013,Other Europe,"<$20,000",,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Linux,1/25/2013
30-34,6/10/2013,United States of America,"$100,000 - $120,000",,,,Java,JavaScript,jQuery,,,,,,,SQL,,Love my job,Linux,3001
35-39,11,United Kingdom,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,,,,,,I enjoy going to work,Windows 7,1/25/2013
25-29,2/5/2013,Germany,"$40,000 - $60,000",C,C++,,,,,,,,,,,,Assembler,I enjoy going to work,Mac OS X,26-100
40-50,11,United States of America,"$100,000 - $120,000",,C++,C#,,JavaScript,jQuery,,,,,,,,,Love my job,Windows XP,101-999
25-29,2/5/2013,United States of America,"$100,000 - $120,000",,,C#,,,,,,,,,,SQL,,It's a paycheck,Windows 7,101-999
35-39,11,United States of America,Rather not say,,,C#,,,,,,,,,,SQL,,Love my job,Windows 7,101-999
35-39,11,Other Europe,"$20,000 - $40,000",,,,Java,JavaScript,jQuery,,Node.js,,PHP,Python,,SQL,,It's a paycheck,Windows XP,26-100
40-50,11,Germany,Rather not say,,,,Java,,,,,,,,,SQL,,Love my job,Linux,1/25/2013
40-50,11,United States of America,">$140,000",,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,3001
,,Africa,,,,,,,,,,,,,,,,,,
30-34,11,Other Europe,,,,,,,,,,,,,,,,,,
20-24,<2,United Kingdom,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,South America,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Central America,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
< 20,<2,Canada,,,,,,,,,,,,,,,,,,
20-24,<2,Other Europe,,,,,,,,,,,,,,,,,,
< 20,2/5/2013,Germany,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,Germany,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,
20-24,<2,Italy,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
35-39,11,India,,,,,,,,,,,,,,,,,,
30-34,11,United States of America,,,,,,,,,,,,,,,,,,
>60,<2,United States of America,,,,,,,,,,,,,,,,,,
30-34,11,United Kingdom,,,,,,,,,,,,,,,,,,
30-34,11,Other Europe,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,
30-34,11,Australia,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Africa,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,South America,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
35-39,6/10/2013,United Kingdom,,,,,,JavaScript,jQuery,,,,PHP,,,,,,Mac OS X,101-999
25-29,6/10/2013,United Kingdom,"$60,000 - $80,000",,,C#,,,,,,,,,,SQL,VBA,I enjoy going to work,Windows 7,3001
20-24,2/5/2013,Russia,,,,,,JavaScript,jQuery,,,,,,,SQL,,,Windows 7,1/25/2013
30-34,<2,United States of America,,,,,,,,,,Objective-C,,,,,,,Mac OS X,1/25/2013
30-34,6/10/2013,India,,,,,,,,,,,,,,,,,,1/25/2013
25-29,11,Other Europe,"$20,000 - $40,000",,,C#,,JavaScript,jQuery,,,Objective-C,,,,SQL,,Love my job,Windows 7,1/25/2013
35-39,11,United States of America,,,,,Java,JavaScript,jQuery,,,,,,,SQL,,,Mac OS X,3001
30-34,11,United States of America,,C,C++,,,,,,,,,,,,,,Other,3001
40-50,11,United Kingdom,,C,C++,,,,,,,Objective-C,,Python,,SQL,,,Linux,26-100
40-50,11,United States of America,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Mac OS X,1/25/2013
30-34,2/5/2013,United States of America,Rather not say,,,,,JavaScript,jQuery,,,,,,,,,It's a paycheck,Windows 7,"Other (not working, consultant, etc.)"
51-60,6/10/2013,United States of America,"$60,000 - $80,000",,,,,JavaScript,jQuery,,Node.js,,PHP,,,,,Love my job,Windows 7,1/25/2013
30-34,11,United States of America,"$120,000 - $140,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 8,26-100
20-24,2/5/2013,Other Europe,"$20,000 - $40,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,It's a paycheck,Windows 7,1/25/2013
25-29,6/10/2013,Other Europe,">$140,000",C,C++,C#,Java,,,,,,,Python,,,,It's a paycheck,Linux,26-100
40-50,11,United Kingdom,Rather not say,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Windows 7,1/25/2013
20-24,2/5/2013,Other Asia,"<$20,000",,C++,,,JavaScript,,,,,,Python,,,Lua,I enjoy going to work,Linux,1/25/2013
20-24,2/5/2013,United States of America,"$80,000 - $100,000",,,C#,,,jQuery,,,,,,,SQL,,It's a paycheck,Windows 7,101-999
25-29,2/5/2013,Central America,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,Python,,SQL,VB.NET,I enjoy going to work,Windows 7,101-999
25-29,2/5/2013,Canada,"$40,000 - $60,000",,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,"1,000-3,000"
35-39,11,United States of America,">$140,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,26-100
30-34,6/10/2013,United States of America,"$60,000 - $80,000",,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,It's a paycheck,Windows 7,"1,000-3,000"
51-60,11,United States of America,">$140,000",,C++,,,JavaScript,jQuery,,,,PHP,,,SQL,codeigniter,Love my job,Linux,1/25/2013
40-50,11,Canada,"$80,000 - $100,000",,C++,,,,,,,,,,,,,I enjoy going to work,Windows 7,1/25/2013
40-50,11,Other Europe,"$100,000 - $120,000",,C++,C#,,,,,,Objective-C,,,,SQL,,I enjoy going to work,Mac OS X,101-999
25-29,6/10/2013,Germany,"$40,000 - $60,000",,C++,C#,Java,,,,,,,,,,,It's a paycheck,Windows 8,26-100
25-29,2/5/2013,United States of America,"$40,000 - $60,000",,,C#,Java,JavaScript,,,,,,Python,,,,Love my job,Windows 7,1/25/2013
40-50,11,United States of America,"$80,000 - $100,000",C,C++,C#,,,,,,,,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
25-29,<2,South America,Rather not say,,C++,,Java,,jQuery,,,,PHP,,,SQL,,It's a paycheck,Linux,1/25/2013
20-24,2/5/2013,India,"$20,000 - $40,000",,,,Java,,jQuery,,,,PHP,,,,,I enjoy going to work,Linux,26-100
30-34,6/10/2013,Canada,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows 7,26-100
30-34,6/10/2013,United States of America,"$80,000 - $100,000",,C++,,Java,,,,,,,Python,,SQL,,I enjoy going to work,Mac OS X,101-999
25-29,11,United States of America,"$60,000 - $80,000",C,,C#,,,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,101-999
25-29,2/5/2013,India,"<$20,000",,,C#,Java,,,,,,,,,SQL,,It's a paycheck,Mac OS X,1/25/2013
25-29,6/10/2013,United States of America,"$80,000 - $100,000",,,,Java,JavaScript,jQuery,,,,,Python,Ruby,SQL,Scala,It's a paycheck,Windows XP,3001
20-24,11,United States of America,"$20,000 - $40,000",,,,,JavaScript,jQuery,,,Objective-C,,,,SQL,VB.NET,I enjoy going to work,Mac OS X,101-999
35-39,11,United States of America,Rather not say,,,,,JavaScript,jQuery,JQuery,,,,,Ruby,SQL,,Love my job,Mac OS X,26-100
30-34,2/5/2013,Australia,"$100,000 - $120,000",,,,,,jQuery,JQuery,,,PHP,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
30-34,11,United States of America,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,VB.net,It's a paycheck,Windows 7,1/25/2013
20-24,2/5/2013,Germany,Student / Unemployed,,,,,JavaScript,jQuery,,Node.js,,PHP,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
25-29,2/5/2013,Other Europe,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,,,SQL,,It's a paycheck,Windows 7,26-100
25-29,6/10/2013,United States of America,"$60,000 - $80,000",,,C#,,,,,,,,,Ruby,,PowerShell,I enjoy going to work,Windows 7,26-100
30-34,2/5/2013,Netherlands,,,,C#,,,,,,,,,,SQL,,It's a paycheck,Windows 7,101-999
25-29,2/5/2013,Other Europe,"$20,000 - $40,000",,,C#,Java,,,,,,PHP,Python,,SQL,"VB.NET, Bash, GIT, SVN",It's a paycheck,Linux,1/25/2013
40-50,11,Canada,"$60,000 - $80,000",,,,,,,,,,,,,,,It's a paycheck,Windows 7,1/25/2013
30-34,6/10/2013,France,Rather not say,,,C#,,,jQuery,,,,,,,,,I enjoy going to work,Windows 8,3001
25-29,2/5/2013,France,"$40,000 - $60,000",C,C++,,,,,,,,,,,,matlab,I'm not happy in my job,Windows 7,101-999
25-29,2/5/2013,United States of America,"$20,000 - $40,000",,,,,JavaScript,,,,,,Python,,,,I enjoy going to work,Linux,101-999
20-24,2/5/2013,Germany,Rather not say,,,,,,,,,,PHP,Python,,SQL,,I enjoy going to work,Mac OS X,26-100
< 20,2/5/2013,United Kingdom,Student / Unemployed,,C++,,,JavaScript,jQuery,,,,PHP,,,SQL,,It's a paycheck,Windows 7,1/25/2013
20-24,2/5/2013,Other Europe,Student / Unemployed,C,C++,,Java,JavaScript,jQuery,,,,,Python,Ruby,,,I wish I had a job!,Linux,"Other (not working, consultant, etc.)"
30-34,6/10/2013,United States of America,"$100,000 - $120,000",,C++,,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Linux,1/25/2013
20-24,<2,United Kingdom,"$20,000 - $40,000",,,,,JavaScript,jQuery,,Node.js,,PHP,,,SQL,,Love my job,Windows 7,101-999
40-50,11,Other Europe,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,,Python,,SQL,,I wish I had a job!,Linux,1/25/2013
30-34,11,United States of America,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 8,26-100
25-29,2/5/2013,United States of America,Rather not say,,,,Java,JavaScript,jQuery,,,,,,,,,I enjoy going to work,Linux,101-999
35-39,6/10/2013,Netherlands,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
25-29,2/5/2013,Other Europe,"$40,000 - $60,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,SisoDB,I enjoy going to work,Windows 7,"1,000-3,000"
30-34,2/5/2013,United States of America,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows XP,3001
25-29,6/10/2013,Other Europe,Rather not say,C,,C#,,,,,,,,Python,,,,I enjoy going to work,Linux,1/25/2013
30-34,6/10/2013,United States of America,"$60,000 - $80,000",,,,Java,JavaScript,jQuery,,,,,,,SQL,,I'm not happy in my job,Windows XP,1/25/2013
20-24,2/5/2013,Canada,"$20,000 - $40,000",,C++,,Java,JavaScript,,,,Objective-C,PHP,Python,,,,I enjoy going to work,Linux,3001
>60,11,United States of America,"$120,000 - $140,000",C,,,,,,,,,PHP,Python,,,assembler,Love my job,Windows 7,1/25/2013
30-34,2/5/2013,Russia,Rather not say,,,,,,,,,,,Python,,,,I enjoy going to work,Linux,26-100
< 20,6/10/2013,Other Europe,Rather not say,C,,,,JavaScript,,,,,,Python,,,,I enjoy going to work,Linux,26-100
30-34,6/10/2013,United States of America,"$60,000 - $80,000",,,,,,,,,,,,Ruby,SQL,"Perl, Puppet, Linux",Love my job,Linux,1/25/2013
25-29,11,United States of America,"$100,000 - $120,000",,,C#,Java,JavaScript,jQuery,,,,PHP,,,SQL,,I'm not happy in my job,Windows 7,101-999
25-29,6/10/2013,Other Asia,"<$20,000",,,,,JavaScript,jQuery,,Node.js,,PHP,,,SQL,,I enjoy going to work,Windows 7,26-100
25-29,6/10/2013,United States of America,"$80,000 - $100,000",,,,Java,,,,,,,,,,,I enjoy going to work,Windows XP,1/25/2013
30-34,6/10/2013,India,Rather not say,,,C#,,JavaScript,,,,,,,,SQL,,I enjoy going to work,Windows 7,3001
35-39,11,Other Europe,"$80,000 - $100,000",C,C++,,,JavaScript,,,,,,,,,,Love my job,Windows 7,1/25/2013
30-34,6/10/2013,United States of America,"$20,000 - $40,000",,,,Java,JavaScript,jQuery,JQuery,,,PHP,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
20-24,6/10/2013,United Kingdom,"$60,000 - $80,000",,,,,JavaScript,jQuery,,Node.js,,,,,,,Love my job,Mac OS X,26-100
30-34,2/5/2013,Other Europe,"$20,000 - $40,000",,C++,,,JavaScript,jQuery,,,,PHP,,,SQL,Perl,I enjoy going to work,Linux,1/25/2013
25-29,2/5/2013,United States of America,"$20,000 - $40,000",,,,,JavaScript,,,,,PHP,Python,,SQL,bash,I enjoy going to work,Windows 7,1/25/2013
25-29,2/5/2013,Other Europe,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,It's a paycheck,Linux,1/25/2013
20-24,6/10/2013,India,"<$20,000",,,C#,Java,JavaScript,,,,,,,,SQL,"ExtJS, Perl",I enjoy going to work,Windows 7,1/25/2013
25-29,6/10/2013,United States of America,Rather not say,,,,Java,JavaScript,,,,,,,,SQL,,I enjoy going to work,Windows XP,3001
< 20,2/5/2013,Other Europe,"<$20,000",,,,,JavaScript,jQuery,,,,,Python,,SQL,Ember.js,I enjoy going to work,Linux,1/25/2013
35-39,11,Other Europe,Rather not say,,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
25-29,2/5/2013,United States of America,"$40,000 - $60,000",,,,Java,JavaScript,jQuery,,,,PHP,,,,MySQL,It's a paycheck,Windows 7,101-999
51-60,11,United States of America,"$60,000 - $80,000",,,,,,,,,,,,Ruby,SQL,,Love my job,Linux,1/25/2013
25-29,6/10/2013,United States of America,"$60,000 - $80,000",,,C#,,,,,,,,,,,VB.NET,I enjoy going to work,Windows 7,3001
40-50,11,United Kingdom,"$120,000 - $140,000",,,C#,Java,JavaScript,jQuery,,,,,,,SQL,VB6,I enjoy going to work,Linux,1/25/2013
30-34,6/10/2013,Canada,"$100,000 - $120,000",,C++,C#,,,,,,,,,,,,I enjoy going to work,Windows 7,101-999
40-50,11,United States of America,"$80,000 - $100,000",,,,,JavaScript,jQuery,,,,,,,,"Lotusscript, Lotus Notes/Domino",I enjoy going to work,Windows 7,101-999
20-24,2/5/2013,United Kingdom,Rather not say,C,C++,,,JavaScript,jQuery,,,,,Python,,,,I enjoy going to work,Mac OS X,3001
25-29,6/10/2013,Russia,"<$20,000",C,,,,,,,,,,Python,,,haskell,I enjoy going to work,Linux,26-100
25-29,2/5/2013,South America,Rather not say,C,,,,,,,,,,Python,,,,I enjoy going to work,Linux,1/25/2013
30-34,6/10/2013,United States of America,"$60,000 - $80,000",,,,Java,,,,,,PHP,,,,,Love my job,Windows 7,1/25/2013
30-34,6/10/2013,United States of America,"$120,000 - $140,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,VB.NET,I enjoy going to work,Windows 7,3001
35-39,11,Other Europe,">$140,000",,,,,JavaScript,jQuery,,,,,Python,,SQL,,Love my job,Linux,1/25/2013
20-24,2/5/2013,Germany,,,,,,,,,,,,,,,,,,
35-39,11,Australasia,,,,,,,,,,,,,,,,,,
30-34,<2,United States of America,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,United Kingdom,,,,,,,,,,,,,,,,,,
40-50,11,United States of America,,,,,,,,,,,,,,,,,,
30-34,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
< 20,2/5/2013,South America,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Australia,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,Other Europe,,,,,,,,,,,,,,,,,,
30-34,11,Other Europe,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,
< 20,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,Germany,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,
25-29,11,Germany,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
25-29,11,United States of America,,,,,,,,,,,,,,,,,,
< 20,<2,Other Europe,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
25-29,<2,India,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
< 20,2/5/2013,United Kingdom,,,,,,,,,,,,,,,,,,
20-24,6/10/2013,Other Europe,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,Middle East,,,,,,,,,,,,,,,,,,
,,Russia,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,
< 20,<2,United States of America,,,,,,,,,,,,,,,,,,"Other (not working, consultant, etc.)"
20-24,11,Germany,,C,C++,C#,Java,,,,,,,,,,,,Linux,"Other (not working, consultant, etc.)"
>60,<2,United States of America,,,,,Java,JavaScript,,,,,,,,,,,Windows 7,"Other (not working, consultant, etc.)"
25-29,6/10/2013,Other Europe,"<$20,000",,,,Java,,,,,,,,,,"Xtend, Scala, TypeScript",I enjoy going to work,Mac OS X,3001
20-24,6/10/2013,Russia,,,,C#,,JavaScript,jQuery,,,,,,,SQL,,,Windows 7,1/25/2013
25-29,2/5/2013,Other Asia,,,,C#,,JavaScript,,,,,,,,SQL,,,Windows 7,101-999
20-24,2/5/2013,Canada,"<$20,000",C,,,,,,,,,PHP,,,,MySQL,Love my job,Linux,"1,000-3,000"
30-34,2/5/2013,Other Asia,"$20,000 - $40,000",,,C#,,,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows 7,26-100
30-34,2/5/2013,Bangladesh,,,,C#,Java,JavaScript,jQuery,,,,PHP,,,SQL,,,Windows XP,1/25/2013
25-29,<2,India,Rather not say,,,C#,,JavaScript,jQuery,,,,,,,SQL,,It's a paycheck,Windows 8,1/25/2013
25-29,6/10/2013,Germany,,,,,Java,JavaScript,jQuery,,,,,,,SQL,grails,I enjoy going to work,Windows 7,1/25/2013
35-39,11,Russia,,,C++,,,,,,,,,Python,,,,Love my job,Linux,1/25/2013
30-34,11,United States of America,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 7,26-100
30-34,11,Russia,,,,,,,,,,,,,,,,I enjoy going to work,,101-999
20-24,<2,India,"<$20,000",,,C#,,,jQuery,,,,,,,,,I enjoy going to work,Windows 7,"1,000-3,000"
25-29,11,Russia,Rather not say,,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,I enjoy going to work,Linux,1/25/2013
25-29,2/5/2013,India,"<$20,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,Actionscript,I enjoy going to work,Windows 7,1/25/2013
25-29,2/5/2013,Other Asia,"$40,000 - $60,000",C,,C#,,,,,,,,,,SQL,,I enjoy going to work,Windows 7,101-999
25-29,6/10/2013,Russia,"$40,000 - $60,000",,,C#,,JavaScript,jQuery,,Node.js,,,,,SQL,,Love my job,Windows 8,26-100
25-29,6/10/2013,Other Europe,Rather not say,,,C#,Java,,,,,,,Python,Ruby,SQL,,Love my job,Mac OS X,26-100
20-24,<2,France,Student / Unemployed,,,,Java,,,,,,,,,,,It's a paycheck,Linux,101-999
20-24,6/10/2013,Other Europe,,,,,,,jQuery,,,,,,Ruby,,,It's a paycheck,Mac OS X,101-999
40-50,11,Canada,Rather not say,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I'm not happy in my job,Mac OS X,"Other (not working, consultant, etc.)"
25-29,6/10/2013,Middle East,"$20,000 - $40,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Windows 8,1/25/2013
30-34,11,United States of America,Rather not say,,,,,,jQuery,,,,,,,,VB.NET,Love my job,Windows 7,"1,000-3,000"
25-29,6/10/2013,United States of America,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 8,1/25/2013
30-34,6/10/2013,United States of America,,,,C#,,JavaScript,jQuery,,,Objective-C,,,,SQL,,Love my job,Windows 7,1/25/2013
30-34,6/10/2013,United States of America,"$80,000 - $100,000",,,,,JavaScript,,,,,PHP,Python,,,,I enjoy going to work,Linux,26-100
25-29,11,Other Europe,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,,,,,,,,Love my job,Windows 7,1/25/2013
35-39,11,United States of America,"$100,000 - $120,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,3001
40-50,11,United States of America,"$100,000 - $120,000",,,,Java,JavaScript,jQuery,,,,,,,SQL,ColdFusion,Love my job,Windows 7,101-999
30-34,11,Other Europe,"$20,000 - $40,000",C,,C#,Java,JavaScript,jQuery,,Node.js,Objective-C,PHP,,,,,It's a paycheck,Windows 8,1/25/2013
25-29,2/5/2013,United States of America,"$80,000 - $100,000",,C++,,,,,,,,,,,,,It's a paycheck,Windows 7,26-100
40-50,11,United States of America,"$60,000 - $80,000",,,C#,,,,,,,,Python,,SQL,,It's a paycheck,Windows 7,"1,000-3,000"
25-29,6/10/2013,Other Europe,"$40,000 - $60,000",C,,C#,,,,,,,,,,SQL,,I enjoy going to work,Windows 7,"1,000-3,000"
35-39,11,United States of America,">$140,000",,,C#,,,,,,,,,,SQL,,Love my job,Mac OS X,1/25/2013
35-39,11,United States of America,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows 7,101-999
