string_field_2,string_field_3,string_field_0,string_field_39,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_38,string_field_37,string_field_5
25-29,41070,United States of America,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
20-24,40944,United States of America,"$60,000 - $80,000",,JavaScript,CSS,,,,Ruby,SQL,C#,C++,C,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
30-34,41070,Germany,"$20,000 - $40,000",Java,,,PHP,,,,SQL,,,,,,,,Love my job,Linux,Start Up (1-25)
30-34,11,Italy,"$40,000 - $60,000",Java,,,,,,,SQL,C#,C++,C,,,,"F#, Scala, Clojure",I enjoy going to work,Windows 7,Mid Sized (100-999)
30-34,41070,United States of America,"$80,000 - $100,000",,JavaScript,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows XP,Start Up (1-25)
30-34,11,Other Europe,"$40,000 - $60,000",Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,,Its a paycheck,Windows XP,"Fortune 1000 (1,000+)"
35-39,11,Other Europe,"$100,000 - $120,000",,,,,,,,,C#,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
40-50,11,United States of America,"$80,000 - $100,000",Java,,,,,,,,,,,,,,,Its a paycheck,Linux,"Fortune 1000 (1,000+)"
25-29,40944,United States of America,"$60,000 - $80,000",,JavaScript,CSS,,,,,SQL,C#,,,,,,,Love my job,Windows 7,"Fortune 1000 (1,000+)"
25-29,40944,Canada,"$20,000 - $40,000",,JavaScript,CSS,PHP,Python,,Ruby,SQL,,,,,HTML5,,,Its a paycheck,Mac OS X,Start Up (1-25)
35-39,11,United Kingdom,Rather not say,,JavaScript,,PHP,,Objective-C,Ruby,SQL,C#,,,,HTML5,,,I enjoy going to work,Mac OS X,"Other (not working, consultant, etc.)"
35-39,11,Germany,"$40,000 - $60,000",,,,,,Objective-C,,,C#,C++,C,,,,,I enjoy going to work,Linux,Mature Small Business (25-100)
30-34,41070,France,"$60,000 - $80,000",Java,JavaScript,CSS,,,,Ruby,SQL,,,,,HTML5,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
35-39,11,India,Rather not say,,JavaScript,CSS,PHP,Python,Objective-C,Ruby,SQL,C#,,,,HTML5,,,Its a paycheck,Windows 7,"Fortune 1000 (1,000+)"
25-29,41070,Other Europe,"$40,000 - $60,000",,,,PHP,,,,,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
25-29,40944,Other Europe,Rather not say,Java,JavaScript,CSS,,,,Ruby,,,,,,HTML5,,"CoffeeScript, Clojure, Haskell",I enjoy going to work,Windows 7,Mid Sized (100-999)
30-34,41070,India,"$20,000 - $40,000",,JavaScript,,,,,,SQL,,,,Perl,,,,Its a paycheck,Linux,Mature Small Business (25-100)
40-50,11,Canada,"$60,000 - $80,000",Java,JavaScript,,PHP,Python,,,SQL,C#,C++,C,,,,Befunge,Love my job,Windows XP,Start Up (1-25)
25-29,41070,Other Europe,Rather not say,Java,JavaScript,CSS,PHP,,Objective-C,Ruby,SQL,C#,,,,HTML5,,,Love my job,Mac OS X,"Fortune 1000 (1,000+)"
< 20,40944,United Kingdom,Student / Unemployed,,JavaScript,CSS,PHP,,Objective-C,,SQL,,,,,HTML5,,,Love my job,Mac OS X,Student
25-29,40944,United States of America,"$60,000 - $80,000",,,,,,,,,C#,,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
25-29,40944,Other Europe,"<$20,000",Java,,,,,,,SQL,,C++,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
20-24,40944,United States of America,"$80,000 - $100,000",Java,JavaScript,,PHP,,,,SQL,C#,C++,C,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
25-29,41070,Australia,"$80,000 - $100,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,VB.Net,Love my job,Windows 7,Start Up (1-25)
35-39,41070,Canada,"$60,000 - $80,000",,,,,,,,,C#,,,,,,,I'm not happy in my job,Windows XP,"Fortune 1000 (1,000+)"
25-29,41070,United States of America,"$20,000 - $40,000",,JavaScript,,PHP,,,,SQL,,C++,,,HTML5,,,Love my job,Windows 7,Start Up (1-25)
25-29,41070,Germany,Rather not say,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Linux,Start Up (1-25)
30-34,41070,United Kingdom,"$80,000 - $100,000",Java,JavaScript,CSS,,,,,,C#,C++,C,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
30-34,41070,United States of America,"$100,000 - $120,000",Java,JavaScript,CSS,,,Objective-C,,SQL,,,,Perl,HTML5,,,Love my job,Linux,Mid Sized (100-999)
25-29,40944,Other Europe,"$60,000 - $80,000",,,,,,,,,C#,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
25-29,<2,United States of America,"$60,000 - $80,000",Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,,Its a paycheck,Windows 7,Mid Sized (100-999)
30-34,11,Canada,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,Ruby,SQL,,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
< 20,40944,Other Europe,"$40,000 - $60,000",,,,,,Objective-C,Ruby,,,,,,,,,Its a paycheck,Mac OS X,Start Up (1-25)
30-34,11,Germany,"$40,000 - $60,000",Java,JavaScript,CSS,,Python,Objective-C,,SQL,,C++,C,,HTML5,,,I enjoy going to work,Mac OS X,Start Up (1-25)
51-60,11,United States of America,"$60,000 - $80,000",,,CSS,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
30-34,11,Mexico,"$60,000 - $80,000",,JavaScript,CSS,,,,,,,,,Perl,,,,Love my job,Linux,Mature Small Business (25-100)
< 20,41070,Russia,"$20,000 - $40,000",,JavaScript,,PHP,Python,,,,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
25-29,11,United States of America,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,Ruby,SQL,,,C,Perl,HTML5,,,Its a paycheck,Mac OS X,Start Up (1-25)
< 20,<2,United States of America,Student / Unemployed,Java,,CSS,PHP,,Objective-C,,SQL,C#,C++,C,,HTML5,,,Its a paycheck,Mac OS X,Start Up (1-25)
25-29,41070,Australia,">$140,000",,JavaScript,,,,,,SQL,C#,,,,HTML5,,,Its a paycheck,Windows 7,Mid Sized (100-999)
35-39,41070,Italy,"$20,000 - $40,000",Java,,,,,Objective-C,,SQL,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
25-29,41070,Other Europe,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,Objective-C,,,C#,,,,,,,Love my job,Windows 7,Start Up (1-25)
30-34,11,United States of America,"$120,000 - $140,000",Java,,,,,Objective-C,,SQL,C#,,C,,,,,Love my job,Mac OS X,Start Up (1-25)
20-24,41070,Other Europe,"<$20,000",,JavaScript,,PHP,,,Ruby,,,,,,HTML5,,,Love my job,Linux,Start Up (1-25)
35-39,11,United States of America,"$100,000 - $120,000",,,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
35-39,11,United States of America,"$120,000 - $140,000",,JavaScript,,,,,,,C#,,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
20-24,40944,Italy,"<$20,000",Java,,,,,,,,C#,,,Perl,,,,I enjoy going to work,Linux,Start Up (1-25)
35-39,11,United States of America,"$100,000 - $120,000",,JavaScript,,,,,,SQL,C#,C++,C,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,41070,Germany,Rather not say,,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Student
20-24,40944,Other Europe,"<$20,000",Java,JavaScript,CSS,PHP,Python,,,SQL,,,,,HTML5,,,I wish I had a job!,Windows 7,Student
20-24,40944,Netherlands,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,coldfusion,I enjoy going to work,Windows 7,Mature Small Business (25-100)
30-34,41070,Africa,"$40,000 - $60,000",,JavaScript,CSS,,,,,,C#,,,,,,,Love my job,Windows 7,Start Up (1-25)
25-29,11,Russia,"$20,000 - $40,000",,JavaScript,CSS,,,,,SQL,,,C,,HTML5,,haskell,I enjoy going to work,Linux,Start Up (1-25)
< 20,<2,South America,Student / Unemployed,,JavaScript,CSS,PHP,Python,,,,,,,,HTML5,,,Love my job,Linux,Start Up (1-25)
35-39,11,Other Europe,"$40,000 - $60,000",Java,JavaScript,CSS,,Python,,,,,,,,HTML5,,XSLT,I enjoy going to work,Mac OS X,Mid Sized (100-999)
25-29,41070,Other Europe,"<$20,000",Java,JavaScript,CSS,,Python,,,SQL,,,C,Perl,,,,Its a paycheck,Linux,"Fortune 1000 (1,000+)"
25-29,40944,Canada,"$60,000 - $80,000",,JavaScript,CSS,PHP,,Objective-C,,SQL,,,,,HTML5,,"ActionSctip2/3, Flex, Go",Love my job,Windows 7,Start Up (1-25)
20-24,40944,India,"<$20,000",,,,PHP,,,,,,,,,,,,I'm not happy in my job,Linux,Start Up (1-25)
25-29,41070,Other Europe,Rather not say,,JavaScript,CSS,PHP,,,,,,,,,HTML5,,,Love my job,Windows 7,Start Up (1-25)
< 20,40944,United States of America,"<$20,000",Java,JavaScript,CSS,PHP,,,Ruby,SQL,,,,,HTML5,,,Love my job,Mac OS X,Start Up (1-25)
30-34,41070,United States of America,"<$20,000",Java,,,PHP,,,,,,,,,,,,Love my job,Windows 7,Start Up (1-25)
20-24,41070,Russia,Rather not say,Java,,,,,,,,,C++,,,,,,Love my job,Linux,Start Up (1-25)
35-39,41070,Other Europe,Rather not say,,JavaScript,CSS,,,,,SQL,C#,,,,,,F#,I enjoy going to work,Windows XP,Mid Sized (100-999)
40-50,11,Canada,"$100,000 - $120,000",,,,,Python,,,,,,C,Perl,,,,Its a paycheck,Linux,"Fortune 1000 (1,000+)"
25-29,40944,United States of America,"$60,000 - $80,000",,JavaScript,CSS,,,,,SQL,C#,,,,,,,I'm not happy in my job,Windows 7,Start Up (1-25)
40-50,11,United Kingdom,"$80,000 - $100,000",,,,,,,,,,,C,Perl,,,,I'm not happy in my job,Windows XP,"Fortune 1000 (1,000+)"
25-29,11,United States of America,"$80,000 - $100,000",,,,,,,,,C#,C++,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,<2,India,"$40,000 - $60,000",Java,,,,,Objective-C,,,,C++,C,,HTML5,,,I'm not happy in my job,Windows 7,Mid Sized (100-999)
30-34,41070,North America (Other),"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Start Up (1-25)
25-29,11,Other Europe,"$100,000 - $120,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,,,,Love my job,Windows 7,Start Up (1-25)
20-24,<2,Germany,Rather not say,Java,,,,,,,,,,,,,,,I wish I had a job!,Other,Start Up (1-25)
25-29,41070,Other Europe,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,Python,Objective-C,,SQL,C#,,C,,HTML5,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
25-29,40944,Canada,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,Python,,,SQL,,,,,,,,I'm not happy in my job,Linux,"Fortune 1000 (1,000+)"
30-34,40944,United States of America,"$100,000 - $120,000",,,,,,,,SQL,C#,,,,,,VB.NET,I enjoy going to work,Windows 7,Start Up (1-25)
30-34,41070,United States of America,"$80,000 - $100,000",Java,JavaScript,CSS,,,,,,,C++,,,HTML5,,,Its a paycheck,Windows XP,Mid Sized (100-999)
25-29,40944,United States of America,"$60,000 - $80,000",Java,,CSS,,,,Ruby,SQL,C#,,,,HTML5,,,Its a paycheck,Windows 7,Start Up (1-25)
25-29,40944,Other Europe,"$20,000 - $40,000",,JavaScript,CSS,,,,Ruby,,,,,,HTML5,,,I enjoy going to work,Mac OS X,Start Up (1-25)
20-24,41070,Netherlands,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,ActionScript 3,Love my job,Linux,Start Up (1-25)
25-29,41070,United States of America,"$80,000 - $100,000",,JavaScript,CSS,,Python,,,SQL,,,C,,HTML5,,,Love my job,Mac OS X,Start Up (1-25)
20-24,<2,Other Europe,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,,SQL,,C++,C,,,,,Its a paycheck,Windows 7,Start Up (1-25)
30-34,40944,United States of America,"$60,000 - $80,000",,JavaScript,CSS,,Python,Objective-C,Ruby,,,,C,,HTML5,,,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
30-34,<2,Germany,"$20,000 - $40,000",Java,JavaScript,,,Python,,,,,C++,C,,,,,Its a paycheck,Linux,Mid Sized (100-999)
20-24,40944,Germany,"<$20,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
20-24,<2,Other Asia,Rather not say,,,,,Python,,,SQL,C#,,,,,,,Love my job,Windows 7,Start Up (1-25)
35-39,11,South America,"<$20,000",Java,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,I enjoy going to work,Mac OS X,Start Up (1-25)
20-24,40944,Italy,"<$20,000",,,,PHP,,,,,,,,,HTML5,,,Love my job,Linux,Start Up (1-25)
20-24,40944,United Kingdom,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,Love my job,Windows 7,Start Up (1-25)
30-34,41070,Australia,"$60,000 - $80,000",Java,JavaScript,CSS,,,,,SQL,C#,C++,C,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
30-34,41070,Russia,"$20,000 - $40,000",Java,,,,,,,SQL,C#,,,,,,,Its a paycheck,Windows 7,Start Up (1-25)
40-50,11,Germany,"$60,000 - $80,000",Java,,,,,,,,,,,,,,,I'm not happy in my job,Linux,Mid Sized (100-999)
35-39,11,United States of America,"$80,000 - $100,000",,JavaScript,CSS,,,,,,C#,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
20-24,41070,France,"<$20,000",,JavaScript,CSS,PHP,,,,,C#,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
20-24,41070,Other Europe,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Start Up (1-25)
25-29,41070,United States of America,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,Objective-C,,,,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
30-34,11,Other Europe,"$80,000 - $100,000",,,CSS,PHP,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
35-39,11,United States of America,"$100,000 - $120,000",Java,JavaScript,CSS,PHP,,,Ruby,SQL,,C++,C,Perl,,,LISP,Love my job,Mac OS X,Start Up (1-25)
40-50,11,Australasia,"$80,000 - $100,000",Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,,I'm not happy in my job,Windows Vista,Start Up (1-25)
35-39,11,Other Europe,"$80,000 - $100,000",Java,JavaScript,CSS,,,,,SQL,,,,,,,groovy,I enjoy going to work,Mac OS X,"Other (not working, consultant, etc.)"
35-39,41070,United States of America,"$100,000 - $120,000",,JavaScript,,,Python,,,SQL,,,,Perl,HTML5,,R,I enjoy going to work,Linux,Mature Small Business (25-100)
30-34,41070,South America,"$20,000 - $40,000",,JavaScript,CSS,PHP,,Objective-C,Ruby,SQL,,C++,C,,HTML5,,,Its a paycheck,Linux,Mature Small Business (25-100)
30-34,41070,Australia,"$80,000 - $100,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
25-29,41070,South America,"$20,000 - $40,000",,JavaScript,CSS,PHP,Python,,,SQL,C#,,,,HTML5,,,Love my job,Linux,Start Up (1-25)
20-24,41070,United States of America,Student / Unemployed,Java,JavaScript,CSS,PHP,,,,SQL,,C++,,,HTML5,,,Love my job,Linux,Student
40-50,11,United States of America,"$120,000 - $140,000",,JavaScript,,,,Objective-C,,,C#,C++,C,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
40-50,11,Canada,"$120,000 - $140,000",,,,,,,,,C#,,,,,,,Love my job,Windows 7,Mature Small Business (25-100)
25-29,41070,Other Asia,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,Python,Objective-C,Ruby,SQL,C#,,C,Perl,HTML5,,,Its a paycheck,Mac OS X,Mid Sized (100-999)
< 20,40944,India,"<$20,000",,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,I wish I had a job!,Windows 7,Start Up (1-25)
35-39,41070,Germany,Rather not say,,,CSS,,,Objective-C,Ruby,,,C++,C,,HTML5,,,Love my job,Mac OS X,Start Up (1-25)
20-24,40944,Other Asia,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,Objective-C,,SQL,,C++,,,,,,I'm not happy in my job,Mac OS X,Start Up (1-25)
40-50,11,United States of America,"$100,000 - $120,000",Java,JavaScript,CSS,,,Objective-C,,SQL,,,,,,,,Its a paycheck,Mac OS X,Mid Sized (100-999)
25-29,41070,Russia,Rather not say,,,CSS,,Python,Objective-C,,SQL,,,C,,HTML5,,,I wish I had a job!,Mac OS X,Start Up (1-25)
20-24,41070,United Kingdom,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Start Up (1-25)
35-39,11,United States of America,">$140,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Its a paycheck,Windows 7,Start Up (1-25)
20-24,41070,United States of America,"<$20,000",,,,,,Objective-C,,,,,C,,,,,I'm not happy in my job,Mac OS X,Start Up (1-25)
25-29,11,Germany,Rather not say,,,CSS,,Python,,,SQL,,C++,C,,,,,I enjoy going to work,Linux,Start Up (1-25)
25-29,41070,Other Europe,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,Its a paycheck,Windows 7,Start Up (1-25)
20-24,40944,Other Europe,"<$20,000",Java,JavaScript,,,,,,,,,,Perl,,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
30-34,40944,Australasia,"$100,000 - $120,000",,,,,,,,,C#,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
25-29,40944,Russia,"$40,000 - $60,000",,,,,,,,,C#,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,40944,Canada,"$40,000 - $60,000",,,,,,Objective-C,,,C#,,,,,,VB.NET,I enjoy going to work,Windows 7,Start Up (1-25)
35-39,11,United States of America,"$100,000 - $120,000",,JavaScript,CSS,PHP,,,Ruby,SQL,,,,,HTML5,,,I enjoy going to work,Mac OS X,Start Up (1-25)
35-39,11,United States of America,"$60,000 - $80,000",,JavaScript,CSS,PHP,,Objective-C,,SQL,C#,,,,HTML5,,,Love my job,Mac OS X,Start Up (1-25)
25-29,40944,India,Rather not say,,,CSS,PHP,,,,,,,,,HTML5,,,Love my job,Linux,"Other (not working, consultant, etc.)"
35-39,11,Other Europe,"$20,000 - $40,000",,JavaScript,CSS,,,,,SQL,,,,,HTML5,,ASP.NET 4 (VB.NET),Love my job,Windows 7,Start Up (1-25)
20-24,40944,United Kingdom,Student / Unemployed,,,CSS,PHP,Python,,,SQL,C#,C++,,,HTML5,,,I wish I had a job!,Windows 7,Student
30-34,11,United States of America,"$120,000 - $140,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Mac OS X,Start Up (1-25)
40-50,11,United States of America,">$140,000",,JavaScript,,,,,,,C#,C++,C,,HTML5,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
30-34,41070,India,"<$20,000",,,,,,,,,C#,C++,,,,,,Love my job,Windows 7,Start Up (1-25)
20-24,40944,Middle East,"<$20,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,"Visual Studio .Net MVC 3, Visual Basic 6",Its a paycheck,Windows 7,Mature Small Business (25-100)
20-24,40944,United Kingdom,,Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,,Love my job,Mac OS X,Start Up (1-25)
< 20,<2,Other Asia,Rather not say,Java,,,,Python,,,SQL,,,,,,,,I wish I had a job!,Windows 7,Start Up (1-25)
20-24,40944,Canada,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,Love my job,Windows 7,Mature Small Business (25-100)
40-50,11,United States of America,Rather not say,,JavaScript,CSS,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
20-24,40944,Other Europe,"$40,000 - $60,000",Java,JavaScript,CSS,,,,,,C#,C++,,,HTML5,,,I enjoy going to work,Mac OS X,Mid Sized (100-999)
30-34,41070,Canada,"$100,000 - $120,000",,,,,,,,SQL,C#,C++,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
25-29,40944,Other Europe,"$80,000 - $100,000",Java,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Love my job,Mac OS X,Mid Sized (100-999)
40-50,11,United Kingdom,"$40,000 - $60,000",,,,,Python,,,,C#,C++,C,,,,,Love my job,Windows 7,Mature Small Business (25-100)
35-39,11,Germany,Rather not say,Java,,CSS,,Python,,Ruby,,,C++,,,HTML5,,,Its a paycheck,Windows 7,Mid Sized (100-999)
20-24,40944,India,Rather not say,Java,,,,,Objective-C,,,,,,,,,,Love my job,Mac OS X,Start Up (1-25)
< 20,40944,United States of America,"<$20,000",,,,,,Objective-C,,,,,,,,,,I wish I had a job!,Mac OS X,Student
20-24,41070,United Kingdom,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,Python,,,SQL,C#,,C,,HTML5,,,Love my job,Linux,Mature Small Business (25-100)
35-39,11,Netherlands,"$60,000 - $80,000",,JavaScript,CSS,,,,,,,,,,HTML5,,,Love my job,Mac OS X,Start Up (1-25)
25-29,40944,United States of America,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,Python,,Ruby,SQL,,,,,,,,Love my job,Mac OS X,Start Up (1-25)
< 20,40944,United States of America,Student / Unemployed,,,CSS,,,,Ruby,,,,,,HTML5,,,I wish I had a job!,Linux,Student
20-24,41070,United States of America,"<$20,000",,,CSS,PHP,,,,,,,,,HTML5,,,I wish I had a job!,Mac OS X,Start Up (1-25)
< 20,40944,United States of America,"$20,000 - $40,000",,,,,,,,,C#,,,,,,,Love my job,Mac OS X,Start Up (1-25)
40-50,11,Other Europe,"$100,000 - $120,000",Java,,,,,,Ruby,,,C++,C,Perl,,,,Love my job,Mac OS X,Mid Sized (100-999)
40-50,11,United States of America,"$40,000 - $60,000",,,,,,,,,,C++,C,,,,,I enjoy going to work,Mac OS X,"Other (not working, consultant, etc.)"
25-29,40944,India,Rather not say,Java,,,,,,,,,,,,,,,Love my job,Windows 7,Mature Small Business (25-100)
< 20,11,Africa,Student / Unemployed,Java,JavaScript,CSS,,Python,Objective-C,Ruby,,,C++,,,HTML5,,,I enjoy going to work,Linux,Student
30-34,41070,India,"<$20,000",,JavaScript,CSS,PHP,,,,SQL,C#,,,,,,,Love my job,Windows 7,Mature Small Business (25-100)
30-34,11,Germany,"$20,000 - $40,000",Java,,,,Python,Objective-C,,SQL,C#,C++,C,,,,common lisp,Love my job,Linux,"Other (not working, consultant, etc.)"
40-50,11,Germany,"$100,000 - $120,000",Java,,,,,,,SQL,,,,,,,Scala,Love my job,Windows 7,Mature Small Business (25-100)
20-24,<2,India,"<$20,000",,,,,,,,,,,C,,,,,I enjoy going to work,Linux,Start Up (1-25)
30-34,40944,Canada,Student / Unemployed,,JavaScript,CSS,PHP,Python,,,,,,C,,HTML5,,,I wish I had a job!,Linux,"Other (not working, consultant, etc.)"
< 20,<2,United States of America,,Java,,,,,,,,,,,,,,,I wish I had a job!,Linux,Start Up (1-25)
30-34,11,United Kingdom,Rather not say,Java,JavaScript,CSS,PHP,Python,Objective-C,,SQL,,,,,,,Haskell,I enjoy going to work,Mac OS X,Start Up (1-25)
30-34,41070,United States of America,"$60,000 - $80,000",,,,,Python,,,,,C++,,,,,,Love my job,Linux,"Fortune 1000 (1,000+)"
25-29,41070,Other Asia,Rather not say,,,,,,,Ruby,,,,,,HTML5,,,I enjoy going to work,Mac OS X,Start Up (1-25)
25-29,41070,Other Europe,"$40,000 - $60,000",,JavaScript,CSS,PHP,Python,Objective-C,,SQL,,,,,HTML5,,,I enjoy going to work,Mac OS X,Start Up (1-25)
25-29,41070,United States of America,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,Python,,,SQL,,C++,,,HTML5,,,Its a paycheck,Windows 7,Mature Small Business (25-100)
30-34,11,United States of America,"$120,000 - $140,000",,JavaScript,,,,,,SQL,C#,,,,,,,Love my job,Windows 7,Mid Sized (100-999)
30-34,41070,Australia,"<$20,000",,,,PHP,,,,,,,,,,,,Hate my job,Windows Vista,Start Up (1-25)
25-29,41070,United States of America,,,,,,,,,,,,,Perl,,,,I wish I had a job!,Linux,"Other (not working, consultant, etc.)"
30-34,41070,United States of America,"$80,000 - $100,000",Java,JavaScript,CSS,,,,,SQL,,,,,,,,I'm not happy in my job,Windows 7,Mature Small Business (25-100)
25-29,11,Other Asia,"$80,000 - $100,000",,JavaScript,CSS,,,,Ruby,SQL,,,,,HTML5,,,I'm not happy in my job,Linux,Start Up (1-25)
20-24,40944,United States of America,"$60,000 - $80,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
40-50,11,Canada,"$40,000 - $60,000",,,,,Python,,,SQL,,C++,C,,HTML5,,,I enjoy going to work,Linux,Start Up (1-25)
30-34,41070,Netherlands,"$20,000 - $40,000",,,,,,Objective-C,,SQL,C#,,,,HTML5,,,I enjoy going to work,Mac OS X,Start Up (1-25)
30-34,41070,Other Europe,Rather not say,Java,JavaScript,CSS,,,Objective-C,Ruby,SQL,C#,C++,C,,HTML5,,,I enjoy going to work,Windows 7,Start Up (1-25)
30-34,11,Other Europe,"$20,000 - $40,000",,,,,,,,SQL,C#,,,,,,Delphi,Its a paycheck,Windows 7,Start Up (1-25)
25-29,40944,Australasia,"$80,000 - $100,000",Java,,,,,,Ruby,,C#,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
40-50,11,United States of America,"$80,000 - $100,000",,,,,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,41070,Other Europe,"$40,000 - $60,000",,JavaScript,CSS,,,Objective-C,,SQL,C#,,,,,,,Hate my job,Windows 7,Start Up (1-25)
25-29,40944,United States of America,"$80,000 - $100,000",Java,JavaScript,CSS,PHP,Python,,Ruby,SQL,C#,,C,,HTML5,,,Love my job,Mac OS X,Mature Small Business (25-100)
30-34,41070,United States of America,"$60,000 - $80,000",,,,,,,,SQL,,C++,,,,,VBA,Love my job,Windows XP,"Fortune 1000 (1,000+)"
20-24,<2,India,"$20,000 - $40,000",Java,,,,,,,,,,,,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
40-50,41070,United States of America,"$40,000 - $60,000",,,,,,,,,C#,,,,,,,Love my job,Windows 7,Mature Small Business (25-100)
25-29,41070,Other Europe,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,Python,Objective-C,Ruby,SQL,C#,,C,,HTML5,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
25-29,41070,Other Europe,"<$20,000",,JavaScript,CSS,PHP,,,,,,,,,,,,Its a paycheck,Windows XP,Start Up (1-25)
