string_field_1,string_field_4,string_field_0,string_field_105,string_field_8,string_field_9,string_field_10,string_field_11,string_field_12,string_field_13,string_field_14,string_field_15,string_field_16,string_field_17,string_field_18,string_field_19,string_field_20,string_field_21,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_109,string_field_2,string_field_6
20-24,1 - 2 years,Greece,"Less than $20,000",,,,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I'm somewhat satisfied with my job,Male,Windows 8
25-29,2 - 5 years,Russian Federation,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
< 20,2 - 5 years,N/A,"Less than $20,000",,,,,,,C#,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Mac OS X
35-39,11+ years,United States,"$100,000 - $120,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 7
< 20,2 - 5 years,United Kingdom,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Windows 7
20-24,1 - 2 years,Brazil,Rather not say,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
25-29,2 - 5 years,Poland,Rather not say,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
20-24,6 - 10 years,Germany,Rather not say,Android,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,Centura,I'm somewhat dissatisfied with my job,Male,Windows 8
20-24,1 - 2 years,India,Rather not say,,,,,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Mac OS X
25-29,11+ years,United States,"$20,000 - $40,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,,I hate my job,Male,Windows 8
20-24,6 - 10 years,United Kingdom,"$20,000 - $40,000",,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Ubuntu
20-24,1 - 2 years,Germany,"$20,000 - $40,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,R,,,,,,,,,,,,,,,,Male,Windows 7
30-34,6 - 10 years,Germany,"$40,000 - $60,000",Android,,,,C++,C++11,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,I love my job,Male,Ubuntu
25-29,Less than 1 year,Germany,"$40,000 - $60,000",,,,C,C++,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
Prefer not to disclose,2 - 5 years,Germany,"$40,000 - $60,000",,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Prefer not to disclose,Windows 7
35-39,11+ years,United Kingdom,"$60,000 - $80,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I'm somewhat dissatisfied with my job,Male,Windows 7
25-29,2 - 5 years,Pakistan,"Less than $20,000",Android,,,C,C++,C++11,C#,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,Python,,,,,,,,,SQL,SQL Server,,,,,,Other (please specify),Male,Windows 8
25-29,2 - 5 years,Switzerland,"$80,000 - $100,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,Salesforce,,Sharepoint,,,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
40-50,11+ years,United States,"$100,000 - $120,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I love my job,Male,Windows 8
35-39,11+ years,Australia,"$140,000 - $160,000",,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,,,Objective-C,,,Python,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
35-39,11+ years,United States,"$140,000 - $160,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
25-29,2 - 5 years,India,,,,AngularJS,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,,I love my job,Male,Windows 7
20-24,2 - 5 years,United Kingdom,,,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,Perl,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
20-24,6 - 10 years,Germany,Rather not say,,,,,,,C#,,,,,,,,,,,,,,,,MongoDB,Node.js,,,,,,,,,,,,,SQL,,,,,,,I love my job,Male,Windows 8
20-24,Less than 1 year,United Kingdom,"$20,000 - $40,000",,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 7
30-34,11+ years,United Kingdom,"$40,000 - $60,000",,,,,,,,,,,,,,,,,,,Java,,,,,,,Perl,,,,,,,,,,,,,,,,,,I love my job,Male,Other Linux
35-39,,Italy,"$40,000 - $60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Fedora
25-29,6 - 10 years,N/A,"$40,000 - $60,000",,,,,C++,C++11,C#,,,,,,,,,,,,Java,JavaScript,,,,,Objective-C,,PHP,Python,,,,,,,,,SQL,,,,,Wordpress,,I'm somewhat satisfied with my job,Male,Windows 7
20-24,6 - 10 years,United States,"$40,000 - $60,000",,,,,,C++11,C#,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I love my job,Male,Windows 7
51-60,11+ years,Switzerland,"$60,000 - $80,000",,,,C,C++,,,,,,,,,,,,,,Java,JavaScript,,Matlab,,,,Perl,PHP,,R,,,,,,,,SQL,SQL Server,,Visual Basic,,Wordpress,"Delphi, ProLog, COBOL",Other (please specify),Male,Windows 7
20-24,1 - 2 years,India,"Less than $20,000",,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,Delphi,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
25-29,6 - 10 years,United States,"Less than $20,000",Android,,,,,,C#,,,,,,,,,,,,Java,,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,,,I love my job,Male,Windows 8
35-39,11+ years,Australia,"$80,000 - $100,000",,,,,,,C#,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Mac OS X
40-50,11+ years,Germany,"$80,000 - $100,000",,,,,C++,,,,,,,,,,Go,,,,,JavaScript,,,,,,,,,R,,Ruby,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Other Linux
40-50,11+ years,Sweden,,,,,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
20-24,2 - 5 years,Pakistan,Unemployed,,,,,C++,,,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,,Female,Windows 8
25-29,6 - 10 years,United States,Rather not say,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,Perl,PHP,Python,,,,,,,,,SQL,,,,,,,I love my job,Male,Windows 7
35-39,11+ years,United States,Rather not say,,,,C,C++,C++11,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,,Male,Mac OS X
25-29,Less than 1 year,Russian Federation,"$20,000 - $40,000",,,AngularJS,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
20-24,1 - 2 years,Hungary,"$20,000 - $40,000",,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
20-24,6 - 10 years,Czech Republic,"$20,000 - $40,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 8
30-34,11+ years,Italy,"$20,000 - $40,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,Windows Phone,,,I love my job,Male,Windows 8
20-24,2 - 5 years,United States,"$20,000 - $40,000",Android,,,,C++,C++11,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,,,Male,Ubuntu
35-39,11+ years,Canada,"$60,000 - $80,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 7
25-29,2 - 5 years,United States,"$60,000 - $80,000",,,,,C++,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,Swift,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
30-34,11+ years,Austria,"$60,000 - $80,000",,,,C,C++,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
25-29,2 - 5 years,Bangladesh,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I'm somewhat dissatisfied with my job,Male,Windows 7
25-29,Less than 1 year,Greece,"Less than $20,000",Android,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
20-24,2 - 5 years,Thailand,"Less than $20,000",,,,,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
25-29,6 - 10 years,Iran,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,
< 20,1 - 2 years,New Zealand,,,Arduino / Raspberry Pi,,C,,C++11,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,Male,Ubuntu
25-29,6 - 10 years,Iran,Unemployed,,,,,,,C#,,,,,,,,,,,,,,,Matlab,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,,,Male,Windows 8
20-24,2 - 5 years,Argentina,Unemployed,Android,,,C,C++,C++11,C#,,,,,,,F#,,,,,Java,,,,,,,,,,,,,,,,,,,,,,Windows Phone,,Common Lisp,,Male,Ubuntu
25-29,2 - 5 years,Jordan,Rather not say,Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Ubuntu
35-39,6 - 10 years,Italy,"$20,000 - $40,000",,,,C,C++,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Ubuntu
35-39,11+ years,United Kingdom,"$40,000 - $60,000",,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat dissatisfied with my job,Male,Windows 8
25-29,2 - 5 years,Australia,"$40,000 - $60,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I'm somewhat satisfied with my job,Male,Windows 8
25-29,6 - 10 years,United States,"$60,000 - $80,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I'm somewhat dissatisfied with my job,Male,Windows 7
25-29,2 - 5 years,Denmark,"$60,000 - $80,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
25-29,2 - 5 years,United States,"$60,000 - $80,000",,,,C,,,C#,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
25-29,6 - 10 years,Germany,"$60,000 - $80,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,I love my job,Male,Windows 7
30-34,1 - 2 years,United States,"$60,000 - $80,000",,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,Ruby,,,,,,SQL,,,,,,,I love my job,Male,Windows 7
30-34,11+ years,China,"Less than $20,000",,,,C,C++,,C#,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
30-34,6 - 10 years,United Kingdom,"$80,000 - $100,000",,,,,,,C#,,,,,,,F#,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
25-29,6 - 10 years,Austria,"$80,000 - $100,000",,,,,C++,C++11,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
< 20,1 - 2 years,Spain,Unemployed,,Arduino / Raspberry Pi,,C,C++,C++11,,,,,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,,,,,,Rust,,,,,,,,,,,,,Male,Ubuntu
35-39,6 - 10 years,Germany,Rather not say,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,,Male,Windows 7
20-24,1 - 2 years,Iran,Rather not say,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Windows 8
30-34,11+ years,Italy,Rather not say,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 7
30-34,Less than 1 year,Mexico,"$20,000 - $40,000",Android,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,Matlab,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I'm somewhat satisfied with my job,Male,Windows 7
20-24,2 - 5 years,Brazil,"$20,000 - $40,000",,,,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,Delphi,I love my job,Male,Windows XP
30-34,6 - 10 years,Spain,"$20,000 - $40,000",,,,,C++,,C#,,,,,,,,,,Haskell,,,,,,,,,,,,,,,,,,,,SQL,,,Visual Basic,,,,I'm somewhat satisfied with my job,Male,Windows 7
30-34,11+ years,France,"$40,000 - $60,000",,,,,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Basic,,,,I'm somewhat satisfied with my job,Male,Windows 8
30-34,2 - 5 years,United Kingdom,"$40,000 - $60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Basic,,,,I love my job,Male,Windows 7
35-39,11+ years,Netherlands,"$60,000 - $80,000",,,AngularJS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delphi,I love my job,Male,Windows 8
40-50,6 - 10 years,United States,"$60,000 - $80,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I love my job,Male,Windows 8
40-50,11+ years,Switzerland,"$100,000 - $120,000",Android,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I love my job,Male,Windows 7
20-24,1 - 2 years,France,,,,,,C++,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Windows 7
20-24,2 - 5 years,Portugal,Unemployed,,,,C,C++,,,,,,,,,,,,Haskell,,Java,,,,,,,,,Python,,,,,,,,,SQL,,,,,,,,Male,Mac OS X
< 20,2 - 5 years,Portugal,Unemployed,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vb.net,,Male,Windows 7
< 20,2 - 5 years,United States,Unemployed,,Arduino / Raspberry Pi,,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Windows 8
20-24,2 - 5 years,United States,Rather not say,,,,C,C++,C++11,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,ActionScript 3,I'm somewhat satisfied with my job,Male,Windows 7
25-29,6 - 10 years,Australia,Rather not say,,,,,,,C#,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,,Male,Windows 7
25-29,6 - 10 years,Italy,"$20,000 - $40,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 8
40-50,11+ years,N/A,"$20,000 - $40,000",,,,C,C++,C++11,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I'm somewhat satisfied with my job,Male,Windows 7
35-39,2 - 5 years,Czech Republic,"$20,000 - $40,000",,,,,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 7
20-24,2 - 5 years,Italy,"$20,000 - $40,000",,,,,,,C#,,,,,,,,Go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I hate my job,Male,Windows 8
25-29,6 - 10 years,United Kingdom,"$40,000 - $60,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,Silverlight,I'm somewhat satisfied with my job,Male,Windows 8
35-39,2 - 5 years,Germany,"$40,000 - $60,000",,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,,,I love my job,Male,Ubuntu
25-29,2 - 5 years,Germany,"$40,000 - $60,000",,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
25-29,11+ years,Germany,"$40,000 - $60,000",,,,,C++,C++11,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,Visual Basic,,,,I love my job,Male,Windows 8
40-50,11+ years,Portugal,"$40,000 - $60,000",,,AngularJS,C,C++,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
25-29,6 - 10 years,India,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Basic,,Wordpress,VBA,I'm neither satisfied nor dissatisfied with my job,Male,Windows 8
51-60,11+ years,United States,"Less than $20,000",,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Windows Vista
25-29,1 - 2 years,Turkey,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Female,Windows 8
30-34,6 - 10 years,Netherlands,"$80,000 - $100,000",,,AngularJS,,C++,,C#,,,,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,,,,,,,,,,,SQL,SQL Server,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 8
40-50,11+ years,Switzerland,"$100,000 - $120,000",,,,,,,C#,,,,,,,F#,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
25-29,2 - 5 years,Austria,"$40,000 - $60,000",,,,C,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,Delphi,I'm neither satisfied nor dissatisfied with my job,Male,Debian
25-29,6 - 10 years,Australia,"$60,000 - $80,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,,I love my job,Male,Windows 7
25-29,2 - 5 years,United States,"$60,000 - $80,000",,,,C,C++,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
35-39,6 - 10 years,France,"$60,000 - $80,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,I love my job,Male,Windows 8
35-39,11+ years,United States,"$100,000 - $120,000",,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
< 20,1 - 2 years,Russian Federation,,,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,Male,Debian
40-50,11+ years,Netherlands,,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
35-39,6 - 10 years,United States,"$20,000 - $40,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
40-50,11+ years,Portugal,"$40,000 - $60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,"Common Lisp, Emacs Lisp",I'm somewhat satisfied with my job,Male,Windows 7
25-29,2 - 5 years,Canada,"$40,000 - $60,000",,,,,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 7
35-39,11+ years,United Kingdom,"$60,000 - $80,000",Android,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,,,,Visual Basic,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 8
35-39,11+ years,Uruguay,"$60,000 - $80,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prolog,I love my job,Male,Windows 7
30-34,6 - 10 years,United Kingdom,Rather not say,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,,I'm somewhat dissatisfied with my job,Male,Windows 7
30-34,1 - 2 years,Germany,"$20,000 - $40,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Basic,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
30-34,6 - 10 years,Belgium,"$40,000 - $60,000",,,,,,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
20-24,6 - 10 years,United Kingdom,"$40,000 - $60,000",,,,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,,,MongoDB,,,Perl,PHP,Python,,Redis,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
25-29,6 - 10 years,Germany,"$60,000 - $80,000",,,,,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,,I'm somewhat dissatisfied with my job,Male,Windows 8
< 20,2 - 5 years,Switzerland,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 7
25-29,6 - 10 years,United States,"$80,000 - $100,000",,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
30-34,6 - 10 years,United States,"$80,000 - $100,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows Phone,,,I love my job,Male,Windows 8
35-39,11+ years,United Kingdom,"$80,000 - $100,000",,,AngularJS,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,,I love my job,Male,Windows 8
51-60,11+ years,United Kingdom,"$120,000 - $140,000",,,,C,C++,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delphi,I'm somewhat satisfied with my job,Male,Windows Vista
20-24,Less than 1 year,Lebanon,Rather not say,,,,,C++,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I love my job,Female,Windows 8
40-50,11+ years,United Kingdom,Rather not say,,Arduino / Raspberry Pi,,,C++,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,LAMP,,MongoDB,,,,,Python,,,,,,,,,,,,,,,,I love my job,Male,Windows 7
20-24,2 - 5 years,United Kingdom,"$20,000 - $40,000",,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat dissatisfied with my job,Male,Windows 7
51-60,11+ years,United States,"$20,000 - $40,000",,,,,,,,,,,,,,,,,,,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I'm somewhat dissatisfied with my job,Male,Mac OS X
25-29,6 - 10 years,Netherlands,"$40,000 - $60,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,,I love my job,Male,Windows 8
40-50,11+ years,Brazil,"$60,000 - $80,000",,,,C,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,I love my job,Male,Windows 7
40-50,11+ years,Switzerland,"$60,000 - $80,000",,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
25-29,2 - 5 years,United States,"$80,000 - $100,000",,Arduino / Raspberry Pi,,,,,C#,,,,,,,,,,,,,,,,,Node.js,,,,,,,,,,,,,,,,,Windows Phone,,,I love my job,Male,Windows 8
40-50,11+ years,United States,"More than $160,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,Windows Phone,,,I'm somewhat satisfied with my job,Male,Windows 7
40-50,11+ years,United States,"$100,000 - $120,000",,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,I'm somewhat dissatisfied with my job,Male,Mac OS X
35-39,6 - 10 years,Canada,"$100,000 - $120,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
25-29,6 - 10 years,United Kingdom,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
25-29,11+ years,Norway,Rather not say,Android,,,C,C++,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
30-34,11+ years,Russian Federation,"$20,000 - $40,000",Android,,,,C++,,,,,,,,,,,,,,Java,,,,,,,Perl,,Python,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
25-29,6 - 10 years,United States,"$40,000 - $60,000",Android,,,C,C++,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,SQL,,,,,,,I love my job,Male,Windows 7
30-34,1 - 2 years,United States,"$60,000 - $80,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Basic,,,,I love my job,Female,Windows 7
