string_field_3,string_field_5,string_field_0,string_field_7,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_51,string_field_52,string_field_53,string_field_4,string_field_67,string_field_9
35-39,11,United States,"$120,000 - $140,000",,C++,C#,Java,JavaScript,,Objective-C,PHP,Python,,SQL,,Male,Windows 7,100
25-29,<2,Turkey,"$100,000 - $120,000",,,C#,,,,,,,,,,Male,Windows 8,1/5/2014
25-29,6/10/2014,United Kingdom,"$40,000 - $60,000",,,,,,,,,Python,,,"VB6, VB.Net, VBA",Male,Windows 7,16-30
40-50,11,Sweden,"$80,000 - $100,000",C,,,Java,,,,,,,SQL,,Male,Linux,
25-29,6/10/2014,Germany,Student / Unemployed,C,C++,,Java,,,,,Python,,,Haskell,Male,Linux,
20-24,6/10/2014,United States,Student / Unemployed,,,,,JavaScript,,Objective-C,PHP,Python,,SQL,,Male,Mac OS X,1/5/2014
25-29,2/5/2014,United States,"$20,000 - $40,000",,,,,,,,,Python,,,,Male,Mac OS X,
< 20,<2,Germany,,,,,Java,,,,,,,,Perl,Male,Windows 8,1/5/2014
25-29,11,United Kingdom,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,,,Male,Mac OS X,1/5/2014
25-29,6/10/2014,Ukraine,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,100
30-34,2/5/2014,South Africa,"$40,000 - $60,000",C,,,,JavaScript,Node.js,,PHP,,,,"VBA, VBScript",Male,Windows 7,1/5/2014
51-60,11,Thailand,"$20,000 - $40,000",,,C#,,,,,,,,SQL,T-SQL,Male,Windows 7,1/5/2014
25-29,6/10/2014,United States,Rather not say,,C++,C#,,,,,,,,SQL,,Male,Windows 7,100
20-24,2/5/2014,United States,"$40,000 - $60,000",,,C#,,,,,,,,SQL,,Male,Windows 7,6/15/2014
20-24,2/5/2014,United Kingdom,"$40,000 - $60,000",,,C#,,,,,,,,SQL,,Male,Windows 8,1/5/2014
20-24,2/5/2014,New Zealand,"<$20,000",C,C++,,,JavaScript,,Objective-C,PHP,,,,,Male,Mac OS X,1/5/2014
35-39,11,South Africa,"$20,000 - $40,000",,,,,JavaScript,Node.js,,PHP,Python,,,,Male,Ubuntu,1/5/2014
30-34,2/5/2014,United States,"$60,000 - $80,000",,,,,JavaScript,,,PHP,Python,,,,Male,Windows 7,6/15/2014
40-50,11,United States,"$100,000 - $120,000",,,,,,,,,,,SQL,"VB6, VBA, OBEL, DataBasic",Male,Windows 7,1/5/2014
30-34,11,Germany,"$60,000 - $80,000",,,C#,,,,,PHP,,,SQL,VBA,Male,Windows 7,6/15/2014
20-24,6/10/2014,Canada,Student / Unemployed,C,,,Java,JavaScript,,,PHP,,,SQL,Lua,Male,Linux,
25-29,2/5/2014,Germany,"<$20,000",C,C++,,,,,,,Python,,,,Male,Windows 7,16-30
40-50,11,Germany,"$80,000 - $100,000",,,,,,,,,Python,,,,Male,Windows 7,
25-29,6/10/2014,United States,">$140,000",,C++,,Java,,,,,Python,,,Go,Male,Linux,100
25-29,2/5/2014,Hungary,"$20,000 - $40,000",,C++,,,,,,,Python,,,Perl,Male,Windows 7,31-50
35-39,11,United Kingdom,"$100,000 - $120,000",,,,,JavaScript,,,,,,,"CSS, HTML, ActionScript, Flash",Male,Mac OS X,6/15/2014
25-29,6/10/2014,Austria,,,,C#,,JavaScript,,,,,,,,Male,Windows 7,31-50
25-29,2/5/2014,Germany,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,SQL,,Male,Windows 7,50-100
30-34,6/10/2014,United States,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,16-30
30-34,6/10/2014,United Kingdom,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,,,Male,Windows 8,16-30
25-29,2/5/2014,Brazil,"<$20,000",,,C#,,,,,,,,,Cobol,Male,Windows 7,1/5/2014
25-29,<2,Germany,"$20,000 - $40,000",,,,Java,,,Objective-C,,,,,,Male,Mac OS X,6/15/2014
25-29,2/5/2014,Ukraine,"$20,000 - $40,000",,,,Java,JavaScript,,,PHP,,,SQL,,Male,Mint,50-100
< 20,2/5/2014,Netherlands,Student / Unemployed,,C++,C#,,JavaScript,,,PHP,Python,,,,Male,Windows 7,6/15/2014
< 20,2/5/2014,United States,Student / Unemployed,,C++,,Java,,,,,,,,Go,Male,Windows 7,
20-24,2/5/2014,United Kingdom,Student / Unemployed,,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,1/5/2014
35-39,11,United States,"$80,000 - $100,000",,,,,JavaScript,,,PHP,,,,,Male,Linux,1/5/2014
20-24,2/5/2014,Bulgaria,"<$20,000",,,,,,,,PHP,,,,,Male,Windows 7,1/5/2014
20-24,6/10/2014,Canada,Rather not say,,,,Java,JavaScript,,,PHP,,,SQL,,Male,Windows 8,1/5/2014
30-34,11,United States,"$100,000 - $120,000",,,,Java,,,,PHP,,,SQL,,Male,Linux,1/5/2014
20-24,2/5/2014,Israel,"$20,000 - $40,000",,,,,,,,PHP,,,SQL,,Male,Ubuntu,1/5/2014
25-29,11,Estonia,,,,,,JavaScript,,,,Python,,SQL,,Male,Ubuntu,6/15/2014
40-50,11,United States,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,6/15/2014
30-34,11,Germany,"$60,000 - $80,000",C,C++,,Java,JavaScript,,,,,,,,Male,Windows 7,6/15/2014
30-34,6/10/2014,Israel,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,16-30
35-39,11,Sweden,"$80,000 - $100,000",,,,,,,,,,,,Visual DataFlex,Male,Windows 7,1/5/2014
30-34,6/10/2014,Switzerland,">$140,000",,C++,C#,,JavaScript,,,,Python,,SQL,,Male,Linux,100
51-60,11,United States,"$100,000 - $120,000",,,C#,,,,,,,,,,Male,Windows 7,1/5/2014
20-24,6/10/2014,Czech Republic,"$20,000 - $40,000",,,,Java,,,,,,,SQL,,Male,Windows 7,100
20-24,2/5/2014,Switzerland,"$60,000 - $80,000",C,,,Java,JavaScript,,Objective-C,PHP,,,SQL,,Male,Mac OS X,1/5/2014
25-29,2/5/2014,United States,"$80,000 - $100,000",C,,,,,,,,Python,,,SCPI,Male,Ubuntu,1/5/2014
30-34,11,United Kingdom,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,6/15/2014
25-29,2/5/2014,Germany,"$40,000 - $60,000",,,,Java,,,,,,,SQL,,Male,Ubuntu,50-100
20-24,2/5/2014,Netherlands,Student / Unemployed,,,,Java,JavaScript,,,PHP,,,SQL,"HTML, CSS",Male,Windows 8,1/5/2014
< 20,2/5/2014,United States,Student / Unemployed,,,,,,,,PHP,,,,,Male,Windows 7,1/5/2014
30-34,6/10/2014,Germany,Rather not say,C,,,,,,,PHP,Python,,,,Male,Linux,1/5/2014
25-29,6/10/2014,United States,"$80,000 - $100,000",,,,Java,JavaScript,Node.js,,,,,SQL,Pig,Male,Mac OS X,1/5/2014
30-34,11,United States,Rather not say,,,C#,,,,,,Python,,SQL,,Male,Windows 7,1/5/2014
40-50,11,Australia,,,C++,C#,,,,,,,,,Vb.net,Male,Windows 7,100
25-29,2/5/2014,Poland,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,16-30
25-29,2/5/2014,United States,"$40,000 - $60,000",,C++,C#,,JavaScript,,,PHP,,,SQL,XAML,Male,Windows 8,100
30-34,11,Canada,Rather not say,,,C#,,,,,,,,SQL,,Male,Windows 8,16-30
20-24,2/5/2014,Canada,Rather not say,,,C#,Java,JavaScript,,Objective-C,PHP,,,SQL,,Male,Mac OS X,1/5/2014
35-39,11,United States,Student / Unemployed,C,C++,,,JavaScript,,,,Python,,,,Male,Debian,
< 20,2/5/2014,Poland,Student / Unemployed,,C++,,Java,,,,,,,,Delphi 7 and Delphi XE2,Male,Windows XP,1/5/2014
25-29,2/5/2014,United States,"$100,000 - $120,000",,,,Java,JavaScript,,,,,,SQL,,Male,Mac OS X,16-30
35-39,11,Brazil,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,,,Male,Windows 8,6/15/2014
20-24,6/10/2014,Slovakia,,,,,,,,,PHP,,,SQL,,Male,Mac OS X,1/5/2014
25-29,6/10/2014,United States,"$100,000 - $120,000",,,,,JavaScript,,,,,Ruby,,,Male,Mac OS X,16-30
30-34,6/10/2014,Norway,"$120,000 - $140,000",,,C#,,JavaScript,Node.js,,,,Ruby,SQL,,Male,Windows 8,1/5/2014
25-29,11,Lithuania,"<$20,000",,C++,C#,,JavaScript,,,PHP,,,SQL,"x86 Assembler, Typescript",Male,Windows 8,6/15/2014
30-34,11,United States,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,6/15/2014
40-50,11,Ireland,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,"mongodb,servicestack",Male,Windows 7,6/15/2014
35-39,11,Spain,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,6/15/2014
40-50,11,Ukraine,"$20,000 - $40,000",C,,,,,,,,Python,,,Erlang,Male,Linux,1/5/2014
30-34,6/10/2014,Israel,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,,,Male,Windows 8,16-30
40-50,11,Germany,"$60,000 - $80,000",,,C#,,,,,,,,SQL,,Male,Windows 7,1/5/2014
51-60,6/10/2014,United States,"$80,000 - $100,000",,,,,,,Objective-C,,,,,,Male,Mac OS X,1/5/2014
30-34,11,United States,Rather not say,,,,Java,JavaScript,,,,,,SQL,,Female,Windows 7,100
20-24,6/10/2014,Denmark,Student / Unemployed,C,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 8,
< 20,2/5/2014,India,Student / Unemployed,C,C++,,Java,JavaScript,,,PHP,,,,,Male,Windows 7,
20-24,6/10/2014,Poland,"<$20,000",,,C#,,,,,,,,SQL,,Male,Windows 7,100
40-50,11,United States,Rather not say,,,,Java,,,,,Python,,SQL,"R, Pig, shell scripting (Bash, Powershell)",Prefer not to disclose,Windows 7,100
30-34,11,United States,"$60,000 - $80,000",,,,,JavaScript,Node.js,,,,,,,Male,Linux,16-30
40-50,11,Finland,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,31-50
20-24,6/10/2014,United States,"$20,000 - $40,000",,,C#,,JavaScript,,,,,Ruby,SQL,,Male,Windows 7,16-30
25-29,6/10/2014,India,Rather not say,,,C#,,,,,,,,SQL,,Male,Windows 7,100
30-34,11,Brazil,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
30-34,11,United States,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
25-29,2/5/2014,Germany,"$100,000 - $120,000",,,,Java,JavaScript,,Objective-C,,Python,Ruby,SQL,,Male,Mac OS X,
25-29,2/5/2014,Colombia,"$40,000 - $60,000",,,,,JavaScript,,,,,Ruby,,,Male,Ubuntu,1/5/2014
25-29,6/10/2014,United States,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,6/15/2014
35-39,11,Canada,"$100,000 - $120,000",,,C#,,JavaScript,Node.js,,,,Ruby,SQL,,Male,Mac OS X,50-100
25-29,2/5/2014,United States,"$40,000 - $60,000",C,C++,C#,,,,,,,,,,Male,Windows 7,50-100
20-24,2/5/2014,Canada,"$40,000 - $60,000",,,C#,Java,,,,,,,SQL,,Male,Windows 7,1/5/2014
30-34,11,United States,Rather not say,,,C#,,,,,,,,,,Male,Windows 7,1/5/2014
25-29,2/5/2014,India,"<$20,000",,,C#,Java,JavaScript,,,,,,,OScript,Male,Windows 8,100
20-24,2/5/2014,Canada,"$40,000 - $60,000",,C++,C#,,,,,,,,,,Male,Windows 7,100
30-34,11,Netherlands,"$40,000 - $60,000",C,C++,,Java,,,,PHP,,Ruby,,,Male,Ubuntu,100
40-50,11,United States,">$140,000",C,C++,C#,Java,JavaScript,,,,,,SQL,unix shells,Male,Windows 7,100
< 20,<2,Sweden,Student / Unemployed,,C++,,,,,Objective-C,,,,,,Prefer not to disclose,Mac OS X,
30-34,6/10/2014,United States,">$140,000",,,,Java,,,,,,,,Scala,Male,Mac OS X,6/15/2014
25-29,2/5/2014,India,"<$20,000",,,,Java,JavaScript,Node.js,,,,,,,Male,Ubuntu,50-100
25-29,6/10/2014,United States,"$100,000 - $120,000",,,,,JavaScript,Node.js,,,,,,AngularJS,Male,Mac OS X,16-30
35-39,6/10/2014,United Kingdom,Rather not say,,,,,JavaScript,Node.js,,,,,,Actionscript,Male,Mac OS X,100
30-34,11,United States,"$120,000 - $140,000",,,C#,,JavaScript,,,,,,SQL,"CSS, SVG",Male,Windows 7,31-50
35-39,2/5/2014,Australia,Rather not say,,,,Java,JavaScript,,,PHP,,,,,Male,Windows 7,1/5/2014
30-34,11,Australia,">$140,000",,,C#,,JavaScript,,,,,,SQL,,Male,Mac OS X,6/15/2014
20-24,<2,India,Rather not say,,,,,,,,,Python,,,Haskell,Male,Ubuntu,100
35-39,11,United Kingdom,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,1/5/2014
25-29,2/5/2014,United Kingdom,Rather not say,,,,,JavaScript,,,PHP,,,SQL,,Male,Ubuntu,1/5/2014
40-50,11,United States,Rather not say,,C++,C#,,,,,,,,,,Male,Windows 7,100
25-29,6/10/2014,Czech Republic,"<$20,000",,,,,,,Objective-C,PHP,,,,,Male,Mac OS X,1/5/2014
20-24,<2,United Kingdom,"$20,000 - $40,000",,C++,,,,,Objective-C,,,,,,Male,Mac OS X,1/5/2014
25-29,6/10/2014,Ukraine,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,100
40-50,11,United Kingdom,">$140,000",,,C#,,JavaScript,,,,,,,,Male,Windows 8,6/15/2014
< 20,<2,United States,Rather not say,,,,,,,Objective-C,,,,,,Male,Mac OS X,1/5/2014
< 20,6/10/2014,Singapore,Student / Unemployed,C,C++,,,,,,PHP,,,SQL,vb.net,Male,Windows 7,
20-24,<2,India,"<$20,000",,,,,JavaScript,,,PHP,,,,,Male,Windows XP,16-30
20-24,6/10/2014,Romania,"<$20,000",,,C#,,JavaScript,,,,,,,ActionScript 3,Male,Windows 7,100
20-24,<2,India,Rather not say,,,,Java,,,,,,,SQL,,Male,Mint,50-100
25-29,6/10/2014,United States,"$60,000 - $80,000",,,,,JavaScript,,,,,Ruby,SQL,,Male,Mac OS X,1/5/2014
40-50,11,United States,">$140,000",,,,,,,,,,,SQL,,Male,Windows 8,100
25-29,11,Germany,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,,,Male,Windows 7,6/15/2014
20-24,6/10/2014,Germany,Rather not say,C,C++,,,JavaScript,Node.js,,PHP,,,SQL,,Male,Windows 7,1/5/2014
20-24,2/5/2014,United States,"$20,000 - $40,000",,,,Java,JavaScript,,Objective-C,,Python,,SQL,,Male,Linux,1/5/2014
25-29,6/10/2014,United States,"$80,000 - $100,000",,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 8,100
20-24,6/10/2014,United States,"$100,000 - $120,000",,,,Java,,,,,Python,,SQL,,Male,Mac OS X,31-50
25-29,6/10/2014,Sweden,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
25-29,6/10/2014,United Kingdom,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
30-34,6/10/2014,Canada,Rather not say,,,,,JavaScript,,,PHP,,,,Dart,Male,Linux,1/5/2014
30-34,11,Mexico,"$20,000 - $40,000",,,,,JavaScript,,,PHP,Python,,SQL,,Male,Windows 7,100
20-24,6/10/2014,Austria,"$40,000 - $60,000",,,,,,,,,,,,VB.NET,Male,Windows 7,16-30
>60,11,United Kingdom,Rather not say,,,,Java,,,,,,,,,Male,Mac OS X,
20-24,2/5/2014,Canada,"$60,000 - $80,000",,C++,C#,,,,,,,,,,Male,Windows 7,1/5/2014
35-39,11,United States,Rather not say,,,C#,Java,,,Objective-C,,,,,,Male,Windows 7,1/5/2014
25-29,<2,India,"<$20,000",,,,Java,,,,,,,,,Male,Windows XP,50-100
< 20,6/10/2014,Germany,Student / Unemployed,C,C++,,Java,JavaScript,,Objective-C,PHP,Python,,SQL,jQuery,Male,Mac OS X,1/5/2014
35-39,11,Italy,"$20,000 - $40,000",,,C#,,,,,PHP,,,SQL,,Male,Windows 7,16-30
30-34,11,Ireland,"$60,000 - $80,000",,,,,JavaScript,Node.js,,PHP,,,SQL,,Male,Windows 7,1/5/2014
25-29,6/10/2014,United States,"$80,000 - $100,000",,,C#,,,,,,,,SQL,,Female,Windows 8,50-100
51-60,11,United Kingdom,"$80,000 - $100,000",,C++,C#,Java,,,,,,,SQL,,Male,Windows XP,100
25-29,2/5/2014,United Kingdom,"$20,000 - $40,000",,,,Java,JavaScript,,,,,,SQL,,Male,Windows 7,6/15/2014
20-24,2/5/2014,Brazil,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,100
25-29,6/10/2014,Poland,Rather not say,,,,,JavaScript,,,,Python,,,Go,Male,Ubuntu,31-50
35-39,11,Belgium,Rather not say,,,,Java,,,,,,,SQL,,Male,Windows 7,100
20-24,2/5/2014,United States,,,,,Java,JavaScript,,,,Python,,SQL,,Male,Mac OS X,100
40-50,11,France,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
25-29,2/5/2014,Poland,"<$20,000",,,,,JavaScript,,,,,,,,Male,Mac OS X,100
30-34,6/10/2014,United States,"$80,000 - $100,000",,,C#,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,100
25-29,2/5/2014,Canada,"$40,000 - $60,000",,,,Java,,,,,,,SQL,,Male,Mac OS X,16-30
< 20,2/5/2014,United Kingdom,"<$20,000",C,C++,,Java,JavaScript,Node.js,Objective-C,PHP,,,,,Male,Mac OS X,1/5/2014
35-39,11,United States,">$140,000",,,C#,,JavaScript,Node.js,,PHP,Python,,SQL,,Male,Windows 7,100
30-34,6/10/2014,Finland,"$60,000 - $80,000",,,,Java,JavaScript,,,,,,SQL,"Clojure, Scala, Elasticsearch",Male,Ubuntu,1/5/2014
35-39,11,United States,">$140,000",,,C#,,JavaScript,Node.js,,,,,SQL,,Male,Windows 8,31-50
< 20,6/10/2014,United Kingdom,"$20,000 - $40,000",,C++,,,JavaScript,,,PHP,,,SQL,,Male,Windows 8,1/5/2014
35-39,11,Germany,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
40-50,11,Switzerland,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,16-30
20-24,2/5/2014,India,"<$20,000",C,C++,,,,,,,,,,,Male,Ubuntu,100
20-24,2/5/2014,United Kingdom,"$20,000 - $40,000",,C++,,,,,,,,,,,Male,Windows 7,16-30
20-24,<2,India,"<$20,000",C,C++,,Java,,,,,,,,LabVIEW,Male,Windows XP,1/5/2014
40-50,11,Germany,"$40,000 - $60,000",C,C++,C#,,,,,,,,,,Male,Windows 7,6/15/2014
25-29,6/10/2014,Ireland,"$80,000 - $100,000",,,C#,,,,Objective-C,,,,SQL,,Prefer not to disclose,Windows 8,6/15/2014
25-29,2/5/2014,United States,Rather not say,,,,,JavaScript,,,,Python,,,GNOME Javascript (GJS),Male,Other,6/15/2014
35-39,11,Germany,Rather not say,,C++,C#,Java,,,,,,,SQL,,Male,Windows 7,100
51-60,11,United Kingdom,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows XP,100
25-29,6/10/2014,Russia,Rather not say,,,C#,Java,JavaScript,,,,,,SQL,,Male,Mac OS X,6/15/2014
< 20,2/5/2014,New Zealand,"$40,000 - $60,000",,,C#,Java,JavaScript,Node.js,,,,,,,Male,Windows 8,1/5/2014
35-39,11,Finland,Student / Unemployed,,C++,,,,,,PHP,Python,,,,Male,Mac OS X,6/15/2014
30-34,11,Germany,"$60,000 - $80,000",,,C#,,JavaScript,Node.js,,,Python,,,,Male,Windows 8,6/15/2014
25-29,11,Germany,Rather not say,,,,Java,,Node.js,,,,,SQL,Perl,Male,Other,6/15/2014
20-24,<2,United Kingdom,"$20,000 - $40,000",C,C++,,,,,,,,,,,Male,Windows 8,100
40-50,11,Israel,"$80,000 - $100,000",,,,,,,,PHP,,,SQL,"bash, PERL",Male,Windows 7,16-30
35-39,11,United Kingdom,"$20,000 - $40,000",,,,,JavaScript,,,,,,,R,Male,Windows XP,1/5/2014
35-39,6/10/2014,Israel,Rather not say,,,C#,,JavaScript,Node.js,,PHP,,Ruby,SQL,"Erlang, Lisp",Male,Ubuntu,1/5/2014
40-50,11,France,"$40,000 - $60,000",,,,,,,,,,,,"Go, bash",Male,Windows 7,100
20-24,<2,Egypt,"<$20,000",C,C++,C#,Java,JavaScript,,,,Python,,SQL,"Embedded C, HTML, CSS",Male,Windows 7,100
25-29,6/10/2014,United States,Rather not say,,,,Java,JavaScript,,,,Python,,SQL,,Female,Windows 7,6/15/2014
25-29,6/10/2014,Armenia,"$20,000 - $40,000",,C++,,,JavaScript,Node.js,,PHP,,,SQL,,Male,Windows 7,1/5/2014
20-24,2/5/2014,Switzerland,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,,Male,Ubuntu,100
25-29,11,United States,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Mac OS X,1/5/2014
25-29,6/10/2014,Lithuania,"$40,000 - $60,000",,,,,,,,PHP,Python,,SQL,,Male,Mac OS X,6/15/2014
35-39,11,United States,"$100,000 - $120,000",,,,Java,JavaScript,,,PHP,Python,,SQL,,Male,Mac OS X,6/15/2014
30-34,11,Netherlands,Rather not say,,,,,JavaScript,,,PHP,,Ruby,SQL,,Male,Ubuntu,6/15/2014
25-29,2/5/2014,India,"<$20,000",,,,,JavaScript,Node.js,,PHP,,Ruby,,,Male,Ubuntu,50-100
25-29,6/10/2014,Brazil,"$60,000 - $80,000",,,C#,,,,,,,,SQL,,Male,Windows 8,100
30-34,6/10/2014,United States,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,6/15/2014
20-24,2/5/2014,United States,"$40,000 - $60,000",,,C#,,JavaScript,Node.js,,,Python,,SQL,,Male,Mint,1/5/2014
51-60,11,United States,"$120,000 - $140,000",,C++,,,,,,,,,SQL,csh,Male,Windows 7,31-50
35-39,11,United States,">$140,000",,,,,,,,,,,,DirXML Script,Male,Windows 7,6/15/2014
30-34,11,Germany,,,,C#,,,,,,,,,,Male,Windows 7,1/5/2014
40-50,11,Germany,"$60,000 - $80,000",,,,Java,,,,,,,,,Female,Windows 7,6/15/2014
35-39,11,United Kingdom,"$40,000 - $60,000",,,C#,,,,,,,,SQL,,Male,Windows 7,1/5/2014
30-34,2/5/2014,United States,"$80,000 - $100,000",,,C#,,,,,,,,,VB6,Male,Windows 8,6/15/2014
30-34,6/10/2014,Netherlands,"$100,000 - $120,000",,,,,JavaScript,,Objective-C,,,,,ABAP,Male,Mac OS X,6/15/2014
25-29,6/10/2014,United States,"$80,000 - $100,000",C,,,,,,,,,,,bash,Female,Linux,1/5/2014
51-60,11,United States,"$120,000 - $140,000",C,C++,,,JavaScript,,,,,,,,Male,Windows XP,100
40-50,11,Russia,Rather not say,C,C++,,Java,JavaScript,Node.js,Objective-C,,,,,,Male,Windows XP,1/5/2014
35-39,11,United States,Rather not say,C,,,Java,,,,,Python,,,Clojure,Male,Linux,50-100
35-39,11,United Kingdom,,C,,,,,,,,,,,"asm (arm, arm64)",Male,Debian,100
20-24,6/10/2014,Belgium,"$40,000 - $60,000",,,,Java,JavaScript,Node.js,,,Python,,,,Male,Windows 7,1/5/2014
35-39,<2,United Kingdom,Rather not say,,,,,,,,,,,,MATLAB,Male,Windows XP,6/15/2014
25-29,6/10/2014,United States,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,1/5/2014
< 20,2/5/2014,United Kingdom,"$40,000 - $60,000",,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 7,6/15/2014
30-34,6/10/2014,United Kingdom,"$100,000 - $120,000",,,,,,,,,,,SQL,,Male,Windows 7,16-30
40-50,11,Netherlands,"$100,000 - $120,000",,,,,JavaScript,,,,,Ruby,SQL,,Male,Mac OS X,1/5/2014
25-29,6/10/2014,Iran,Rather not say,,C++,C#,Java,JavaScript,,,,Python,Ruby,SQL,,Male,Windows 8,100
30-34,11,Netherlands,Rather not say,,C++,C#,,,,,,,,,,Male,Windows 8,1/5/2014
35-39,11,United States,"$80,000 - $100,000",,,C#,Java,,,,,,,SQL,,Male,Windows 7,16-30
25-29,6/10/2014,United States,,,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 8,31-50
40-50,11,Canada,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,16-30
40-50,11,United States,"$100,000 - $120,000",,,,,JavaScript,,,,,,SQL,ColdFusion,Male,Windows 7,50-100
30-34,11,Italy,Rather not say,,C++,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,100
35-39,11,Spain,"$20,000 - $40,000",,C++,C#,,,,,,Python,,,Delphi,Male,Windows 7,100
35-39,11,Germany,"$100,000 - $120,000",,,C#,,JavaScript,Node.js,,,,,SQL,,Male,Windows 8,100
25-29,6/10/2014,United Kingdom,"$40,000 - $60,000",C,C++,,Java,,,,,Python,,,,Male,Fedora,100
20-24,<2,Bulgaria,"<$20,000",C,C++,,,,,Objective-C,,,,SQL,,Female,Mac OS X,100
20-24,<2,India,"<$20,000",,,,,,,Objective-C,,,,,,Male,Mac OS X,6/15/2014
30-34,<2,United States,"$60,000 - $80,000",,C++,,Java,,,,,Python,,,,Male,Windows 7,50-100
40-50,11,United Kingdom,"$100,000 - $120,000",C,C++,,,,,,,Python,,,VHDL,Male,Windows 7,31-50
20-24,2/5/2014,Poland,Rather not say,C,C++,,,,,,,,,,,Male,Windows 7,100
35-39,11,United States,"$120,000 - $140,000",,,C#,,JavaScript,,,PHP,,,,,Male,Windows 8,1/5/2014
40-50,11,United States,">$140,000",,,,Java,JavaScript,Node.js,,,Python,,,,Male,Mac OS X,6/15/2014
30-34,2/5/2014,United States,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
25-29,<2,Sweden,Rather not say,,,,Java,JavaScript,,,,,,,,Male,Ubuntu,16-30
20-24,2/5/2014,Norway,Student / Unemployed,C,,,Java,JavaScript,,,PHP,,Ruby,SQL,,Male,Windows 8,6/15/2014
25-29,2/5/2014,United States,"<$20,000",,,C#,,,,,,Python,,SQL,Perl,Male,Windows 7,1/5/2014
20-24,6/10/2014,Germany,Student / Unemployed,C,,,Java,,,,PHP,Python,Ruby,SQL,,Male,Linux,100
40-50,2/5/2014,Australia,Rather not say,,,,,,,,,Python,,,R,Male,Windows 8,31-50
40-50,11,Italy,"$60,000 - $80,000",,,,Java,,,,,Python,,,,Male,Windows 7,100
25-29,2/5/2014,India,"<$20,000",,,,Java,JavaScript,,,,,,,,Male,Windows 7,31-50
30-34,6/10/2014,United Kingdom,"$100,000 - $120,000",,,C#,,,,,,,,SQL,,Male,Windows 7,16-30
30-34,6/10/2014,United Kingdom,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,6/15/2014
30-34,6/10/2014,United Kingdom,"$60,000 - $80,000",,,C#,,,,,,,,,Vb.net,Male,Windows 8,1/5/2014
40-50,2/5/2014,United States,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,,Female,Windows 7,6/15/2014
